	author	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title	author_title	asin	isbn10	isbn13
1115	Robert Ruark	1955-08-21	18	3	3	SOMETHING OF VALUE	Robert Ruark**SOMETHING OF VALUE	 	0241906121	9780241906125
1116	Sloan Wilson	1955-08-21	6	4	4	THE MAN IN THE GRAY FLANNEL SUIT	Sloan Wilson**THE MAN IN THE GRAY FLANNEL SUIT	B004JN0FCM	1568582463	9781568582467
1117	Paul Hyde Bonner	1955-08-21	9	6	6	EXCELSIOR!	Paul Hyde Bonner**EXCELSIOR!	 	 	 
1118	Clemence Dane	1955-08-21	9	5	5	THE FLOWER GIRLS	Clemence Dane**THE FLOWER GIRLS	 	0855944870	9780855944872
1119	Samuel Hopkins Adams	1955-08-21	4	10	9	GRANDFATHER STORIES	Samuel Hopkins Adams**GRANDFATHER STORIES	 	0815602324	9780815602323
1120	Morton Thompson	1955-08-21	74	8	8	NOT AS A STRANGER	Morton Thompson**NOT AS A STRANGER	 	1568491182	9781568491189
1121	Gretchen Finletter	1955-08-21	16	9	10	THE DINNER PARTY	Gretchen Finletter**THE DINNER PARTY	 	0689706111	9780689706110
1122	Gordon Merrick	1970-08-16	10	10	9	THE LORD WON'T MIND	Gordon Merrick**THE LORD WON'T MIND	B00MO0N36M	1555832903	9781555832902
1123	Mary Stewart	1970-08-16	9	2	2	THE CRYSTAL CAVE	Mary Stewart**THE CRYSTAL CAVE	B01E2Y789U	0060548258	9780060548254
1124	John Fowles	1970-08-16	40	4	4	THE FRENCH LIEUTENANT'S WOMAN	John Fowles**THE FRENCH LIEUTENANT'S WOMAN	B0081BTNOY	0099478331	9780099478331
1125	Erich Segal	1970-08-16	27	1	1	LOVE STORY	Erich Segal**LOVE STORY	B005UCVVA6	0380017601	9780380017607
1126	John Updike	1970-08-16	6	8	8	BECH: A BOOK	John Updike**BECH: A BOOK	B007357A58	0449459330	9780449459331
1127	Gwen Bristow	1970-08-16	15	6	6	CALICO PALACE	Gwen Bristow**CALICO PALACE	B00K04NWMY	0671824716	9780671824716
1128	Victoria Holt	1970-08-16	6	7	5	THE SECRET WOMAN	Victoria Holt**THE SECRET WOMAN	B00HUTVFY4	0385036019	9780385036016
1129	Eudura Welty	1970-08-16	14	--	10	LOSING BATTLES	Eudura Welty**LOSING BATTLES			
1130	Taylor Caldwell	1970-08-16	18	3	3	GREAT LION OF GOD	Taylor Caldwell**GREAT LION OF GOD	 	0449203697	9780449203699
1131	James Dickey	1970-08-16	21	5	7	DELIVERANCE	James Dickey**DELIVERANCE	B001LOEG1S	038531387X	9780385313872
1132	John Kenneth Galbraith	1968-05-26	4	 --	7	THE TRIUMPH	John Kenneth Galbraith**THE TRIUMPH	 	0395665132	9780395665138
1133	Taylor Caldwell	1968-05-26	4	7	6	TESTIMONY OF TWO MEN	Taylor Caldwell**TESTIMONY OF TWO MEN	 	044920572X	9780449205723
1134	William Styron	1968-05-26	33	6	9	THE CONFESSIONS OF NAT TURNER	William Styron**THE CONFESSIONS OF NAT TURNER	B00B06NAAA	0679736638	9780679736639
1135	John Updike	1968-05-26	9	2	2	COUPLES	John Updike**COUPLES	B006NKKOXO	044991190X	9780449911907
1136	Leon Uris	1968-05-26	37	4	4	TOPAZ	Leon Uris**TOPAZ	 	 	 
1137	Arthur Hailey	1968-05-26	11	1	1	AIRPORT	Arthur Hailey**AIRPORT	B00JVCHC36	0425176088	9780425176085
1138	Catherine Marshall	1968-05-26	32	9	8	CHRISTY	Catherine Marshall**CHRISTY	 	0310241634	9780310241638
1139	Lawrence Durrell	1968-05-26	5	10	10	TUNC	Lawrence Durrell**TUNC	 	2070371220	9782070371228
1140	Gore Vidal	1968-05-26	15	3	3	MYRA BRECKINRIDGE	Gore Vidal**MYRA BRECKINRIDGE	 	1125979488	9781125979488
1141	Fletcher Knebel	1968-05-26	20	5	5	VANISHED	Fletcher Knebel**VANISHED	 	0441860389	9780441860388
1142	John le Carré	1968-11-24	5	4	2	A SMALL TOWN IN GERMANY	John le Carré**A SMALL TOWN IN GERMANY	B008EXK09Q	 	9780743431712
1143	Taylor Caldwell	1968-11-24	30	7	9	TESTIMONY OF TWO MEN	Taylor Caldwell**TESTIMONY OF TWO MEN	 	044920572X	9780449205723
1144	Cameron Hawley	1968-11-24	8	5	5	THE HURRICANE YEARS	Cameron Hawley**THE HURRICANE YEARS	 	9997499808	9789997499806
1145	Helen MacInnes	1968-11-24	12	1	1	THE SALZBURG CONNECTION	Helen MacInnes**THE SALZBURG CONNECTION	B00A1M5EIA	0449208958	9780449208953
1146	Drew Pearson	1968-11-24	13	9	7	THE SENATOR	Drew Pearson**THE SENATOR	 	 	 
1147	Alexander Solzhenitsyn	1968-11-24	8	10	10	THE FIRST CIRCLE	Alexander Solzhenitsyn**THE FIRST CIRCLE	 	0810115905	9780810115903
1148	John Updike	1968-11-24	35	6	6	COUPLES	John Updike**COUPLES	B006NKKOXO	044991190X	9780449911907
1149	Charles Portis	1968-11-24	21	8	8	TRUE GRIT	Charles Portis**TRUE GRIT	B00XBMNAW4	1585673692	9781585673698
1150	Arthur Hailey	1968-11-24	37	3	4	AIRPORT	Arthur Hailey**AIRPORT	B00JVCHC36	0425176088	9780425176085
1151	Allen Drury	1968-11-24	11	2	3	PRESERVE AND PROTECT	Allen Drury**PRESERVE AND PROTECT	 	0385010303	9780385010306
1152	Mika Waltari	1950-04-23	35	3	4	THE EGYPTIAN	Mika Waltari**THE EGYPTIAN	 	 	 
1153	C.S. Forester	1950-04-23	6	11	9	MR.MIDSHIPMAN HORNBLOWER	C.S. Forester**MR.MIDSHIPMAN HORNBLOWER	B004Z1GBEO	0316290602	9780316290609
1154	Robert Wilder	1950-04-23	4	9	7	WAIT FOR TOMORROW	Robert Wilder**WAIT FOR TOMORROW	 	 	 
1155	Henry Morton Robinson	1950-04-23	5	1	1	THE CARDINAL	Henry Morton Robinson**THE CARDINAL	 	0671814524	9780671814526
1156	Joyce Cary	1950-04-23	13	6	11	THE HORSE'S MOUTH	Joyce Cary**THE HORSE'S MOUTH	 	0940322196	9780940322196
1157	Kathleen Winsor	1950-04-23	2	10	5	STAR MONEY	Kathleen Winsor**STAR MONEY	 	0451008685	9780451008688
1158	Max Shulman	1950-04-23	2	13	14	SLEEP TILL NOON	Max Shulman**SLEEP TILL NOON	 	 	 
1159	John Hersey	1950-04-23	9	2	2	THE WALL	John Hersey**THE WALL	 	0394756967	9780394756967
1160	Nelson Algren	1950-04-23	22	--	16	THE MAN WITH THE GOLDEN ARM	Nelson Algren**THE MAN WITH THE GOLDEN ARM	 	1583220089	9781583220085
1161	Elizabeth Goudge	1950-04-23	16	--	15	GENTIAN HILL	Elizabeth Goudge**GENTIAN HILL	B007AXS1J2	0848822838	9780848822835
1162	Samuel Shellabarger	1950-04-23	16	8	12	THE KING'S CAVALIER	Samuel Shellabarger**THE KING'S CAVALIER	 	 	 
1163	Daphne du Maurier	1950-04-23	17	7	8	THE PARASITES	Daphne du Maurier**THE PARASITES	 	0316253502	9780316253505
1164	Henry Green	1950-04-23	4	12	10	NOTHING	Henry Green**NOTHING	 	1564782603	9781564782601
1165	John Jennings	1950-04-23	8	16	13	THE SEA EAGLES	John Jennings**THE SEA EAGLES	 	 	 
1166	Gwen Bristow	1950-04-23	11	4	3	JUBILEE TRAIL	Gwen Bristow**JUBILEE TRAIL	B00K04NWL0	1556526016	9781556526015
1167	Margaret Kennedy	1950-04-23	5	5	6	THE FEAST	Margaret Kennedy**THE FEAST	 	0718208110	9780718208110
1168	John Godey	1973-03-04	1	--	9	THE TAKING OF PELHAM ONE TWO THREE	John Godey**THE TAKING OF PELHAM ONE TWO THREE	B00ECDCW0M	 	 
1169	Robert Crichton	1973-03-04	17	8	7	THE CAMERONS	Robert Crichton**THE CAMERONS	B00EGJ33BO	0394465822	9780394465821
1170	Mary Renault	1973-03-04	17	7	5	THE PERSIAN BOY	Mary Renault**THE PERSIAN BOY	B00DCGJ6WW	0394751019	9780394751016
1171	Frederick Forsyth	1973-03-04	20	2	2	THE ODESSA FILE	Frederick Forsyth**THE ODESSA FILE	 	0553271989	9780553271980
1172	Anya Seton	1973-03-04	13	3	3	GREEN DARKNESS	Anya Seton**GREEN DARKNESS	B009YA4990	1556525761	9781556525766
1173	John Gardner	1973-03-04	6	6	6	THE SUNLIGHT DIALOGUES	John Gardner**THE SUNLIGHT DIALOGUES	 	0811216705	9780811216708
1174	Agatha Christie	1973-03-04	8	9	10	ELEPHANTS CAN REMEMBER	Agatha Christie**ELEPHANTS CAN REMEMBER	B000FC2IZS	0425067823	9780425067826
1175	Aleksandr Solzhenitsyn	1973-03-04	26	5	8	AUGUST 1914	Aleksandr Solzhenitsyn**AUGUST 1914	 	0374519994	9780374519995
1176	Richard Bach	1973-03-04	46	1	1	JONATHAN LIVINGSTON SEAGULL	Richard Bach**JONATHAN LIVINGSTON SEAGULL	B000SEH506	0743278909	9780743278904
1177	Dan Jenkins	1973-03-04	23	4	4	SEMI-TOUGH	Dan Jenkins**SEMI-TOUGH	B00V3WCCQO	1560258594	9781560258599
1178	Ben Ames Williams	1954-01-17	21	9	12	THE UNCONQUERED	Ben Ames Williams**THE UNCONQUERED	 	9997410270	9789997410276
1179	Harnett T. Kane	1954-01-17	16	4	5	THE LADY OF ARLINGTON	Harnett T. Kane**THE LADY OF ARLINGTON	 	0385042493	9780385042499
1180	Paul Wellman	1954-01-17	16	7	9	THE FEMALE	Paul Wellman**THE FEMALE	 	 	 
1181	Leon Uris	1954-01-17	38	6	7	BATTLE CRY	Leon Uris**BATTLE CRY	B0018ND8AC	006075186X	9780060751869
1182	William E. Barrett	1954-01-17	10	--	16	THE SHADOWS OF THE IMAGES	William E. Barrett**THE SHADOWS OF THE IMAGES			
1183	Charles Bracelen Flood	1954-01-17	11	14	14	LOVE IS A BRIDGE	Charles Bracelen Flood**LOVE IS A BRIDGE	 	 	9780515035353
1184	Alan Paton	1954-01-17	22	12	13	TOO LATE THE PHALAROPE	Alan Paton**TOO LATE THE PHALAROPE	B005UDICHA	0684818957	9780684818955
1185	Ernest K. Gann	1954-01-17	39	5	4	THE HIGH AND THE MIGHTY	Ernest K. Gann**THE HIGH AND THE MIGHTY	 	0671827634	9780671827632
1186	Lloyd C. Douglas	1954-01-17	174	10	11	THE ROBE	Lloyd C. Douglas**THE ROBE	B0089YADSS	0395957753	9780395957752
1187	Annemarie Selinko	1954-01-17	53	13	15	DESIREE	Annemarie Selinko**DESIREE	 	8493388335	9788493388331
1188	Jessamyn West	1954-01-17	1	--	10	CRESS DELAHANTY	Jessamyn West**CRESS DELAHANTY	B01MFDCQUZ	1558615164	9781558615168
1189	Morton Thompson	1954-01-17	2	11	2	NOT AS A STRANGER	Morton Thompson**NOT AS A STRANGER	 	1568491182	9781568491189
1190	Andre Soubiran	1954-01-17	9	8	8	THE DOCTORS	Andre Soubiran**THE DOCTORS	 	 	 
1191	A.J. Cronin	1954-01-17	27	2	3	BEYOND THIS PLACE	A.J. Cronin**BEYOND THIS PLACE	 	0884115259	9780884115250
1192	James Hilton	1954-01-17	22	3	6	TIME AND TIME AGAIN	James Hilton**TIME AND TIME AGAIN	 	0848828070	9780848828073
1193	Samuel Shellabarger	1954-01-17	13	1	1	LORD VANITY	Samuel Shellabarger**LORD VANITY	 	 	 
1194	Ben Ames Williams	1954-01-10	20	11	9	THE UNCONQUERED	Ben Ames Williams**THE UNCONQUERED	 	9997410270	9789997410276
1195	Paul Wellman	1954-01-10	15	6	7	THE FEMALE	Paul Wellman**THE FEMALE	 	 	 
1196	Thomas B. Costain	1954-01-10	68	12	15	THE SILVER CHALICE	Thomas B. Costain**THE SILVER CHALICE	B0060AY8UW	0829423508	9780829423501
1197	Leon Uris	1954-01-10	37	7	6	BATTLE CRY	Leon Uris**BATTLE CRY	B0018ND8AC	006075186X	9780060751869
1198	Charles Bracelen Flood	1954-01-10	10	13	14	LOVE IS A BRIDGE	Charles Bracelen Flood**LOVE IS A BRIDGE	 	 	9780515035353
1199	Alan Paton	1954-01-10	21	15	12	TOO LATE THE PHALAROPE	Alan Paton**TOO LATE THE PHALAROPE	B005UDICHA	0684818957	9780684818955
1200	Ernest K. Gann	1954-01-10	38	3	5	THE HIGH AND THE MIGHTY	Ernest K. Gann**THE HIGH AND THE MIGHTY	 	0671827634	9780671827632
1201	Lloyd C. Douglas	1954-01-10	173	9	10	THE ROBE	Lloyd C. Douglas**THE ROBE	B0089YADSS	0395957753	9780395957752
1202	Annemarie Selinko	1954-01-10	52	10	13	DESIREE	Annemarie Selinko**DESIREE	 	8493388335	9788493388331
1203	Morton Thompson	1954-01-10	1	--	11	NOT AS A STRANGER	Morton Thompson**NOT AS A STRANGER	 	1568491182	9781568491189
1204	Andre Soubiran	1954-01-10	8	8	8	THE DOCTORS	Andre Soubiran**THE DOCTORS	 	 	 
1205	A.J. Cronin	1954-01-10	26	2	2	BEYOND THIS PLACE	A.J. Cronin**BEYOND THIS PLACE	 	0884115259	9780884115250
1206	Harnett T. Kane	1954-01-10	15	5	4	THE LADY OF ARLINGTON	Harnett T. Kane**THE LADY OF ARLINGTON	 	0385042493	9780385042499
1207	James Hilton	1954-01-10	21	4	3	TIME AND TIME AGAIN	James Hilton**TIME AND TIME AGAIN	 	0848828070	9780848828073
1208	Samuel Shellabarger	1954-01-10	12	1	1	LORD VANITY	Samuel Shellabarger**LORD VANITY	 	 	 
1209	Sholem Asch	1954-01-10	7	--	16	A PASSAGE IN THE NIGHT	Sholem Asch**A PASSAGE IN THE NIGHT	 	 	 
1210	Carl Jonas	1952-02-03	2	13	10	JEFFERSON SELLECK	Carl Jonas**JEFFERSON SELLECK	 	 	 
1211	Herman Wouk	1952-02-03	44	 1	1	THE CAINE MUTINY	Herman Wouk**THE CAINE MUTINY	B009NLFJ80	0316955108	9780316955102
1212	Nicholas Monsarrat	1952-02-03	27	2	2	THE CRUEL SEA	Nicholas Monsarrat**THE CRUEL SEA	 	1580800467	9781580800464
1213	Ann Bridge	1952-02-03	4	8	14	THE DARK MOMENT	Ann Bridge**THE DARK MOMENT	 	 	 
1214	James Jones	1952-02-03	50	11	8	FROM HERE TO ETERNITY	James Jones**FROM HERE TO ETERNITY	B004UNGYK8	0517223007	9780517223000
1215	John Marquand	1952-02-03	18	3	5	MELVILLE GOODWIN, USA	John Marquand**MELVILLE GOODWIN, USA	 	1199796158	9781199796158
1216	Daphne du Maurier	1952-02-03	1	--	11	MY COUSIN RACHEL	Daphne du Maurier**MY COUSIN RACHEL	B01EYTVPNS	0316252964	9780316252966
1217	Mary Roberts Rinehart	1952-02-03	2	14	9	THE SWIMMING POOL	Mary Roberts Rinehart**THE SWIMMING POOL	 	0758205376	9780758205377
1218	Mika Waltari	1952-02-03	15	12	12	THE WANDERER	Mika Waltari**THE WANDERER	B017JEO2NA	9997519329	9789997519320
1219	Harold Lenoir Davis	1952-02-03	4	7	13	WINDS OF MORNING	Harold Lenoir Davis**WINDS OF MORNING			
1220	Erich Maria Remarque	1952-02-03	1	--	6	SPARK OF LIFE	Erich Maria Remarque**SPARK OF LIFE	B00FO60F3M	0449912515	9780449912515
1221	Irving Stone	1952-02-03	19	4	3	THE PRESIDENT'S LADY	Irving Stone**THE PRESIDENT'S LADY	B00BY92NBA	1558534318	9781558534315
1222	Graham Greene	1952-02-03	15	5	4	THE END OF THE AFFAIR	Graham Greene**THE END OF THE AFFAIR	 	0099478447	9780099478447
1223	Jean Stafford	1952-02-03	2	--	15	THE CATHERINE WHEEL	Jean Stafford**THE CATHERINE WHEEL	 	0912946873	9780912946870
1224	Sholem Asch	1952-02-03	19	6	7	MOSES	Sholem Asch**MOSES	B00H2AQO8I	999740629X	9789997406293
1225	Thomas Tryon	1971-07-25	8	3	3	THE OTHER	Thomas Tryon**THE OTHER	B007SGV7HY	0440167361	9780440167365
1226	Leon Uris	1971-07-25	36	7	9	QB VII	Leon Uris**QB VII	 	1480430463	9781480430464
1227	James A. Michener	1971-07-25	7	6	5	THE DRIFTERS	James A. Michener**THE DRIFTERS	B00H6JHMHM	0449213536	9780449213537
1228	Irving Stone	1971-07-25	20	2	2	THE PASSIONS OF THE MIND	Irving Stone**THE PASSIONS OF THE MIND	 	0451134567	9780451134561
1229	Victoria Holt	1971-07-25	4	4	6	THE SHADOW OF THE LYNX	Victoria Holt**THE SHADOW OF THE LYNX	 	0385054270	9780385054270
1230	William Peter Blatty	1971-07-25	8	1	1	THE EXORCIST	William Peter Blatty**THE EXORCIST	B004V5180G	0061007226	9780061007224
1231	Sylvia Plath	1971-07-25	14	9	4	THE BELL JAR	Sylvia Plath**THE BELL JAR	B0105VDUQ4	0061148512	9780061148514
1232	Walker Percy	1971-07-25	7	--	10	LOVE IN THE RUINS	Walker Percy**LOVE IN THE RUINS	B004TLVNI4	0312243111	9780312243111
1233	Joseph Wambaugh	1971-07-25	25	10	7	THE NEW CENTURIONS	Joseph Wambaugh**THE NEW CENTURIONS	B000SIR2W8	0440164176	9780440164173
1234	Susan Howatch	1971-07-25	10	8	8	PENMARRIC	Susan Howatch**PENMARRIC	B009DA5FXU	 	9780449206225
1235	Elizabeth Goudge	1958-05-25	20	13	15	THE WHITE WITCH	Elizabeth Goudge**THE WHITE WITCH	B01BH7CLA6	0515041602	9780515041606
1236	Edna Ferber	1958-05-25	11	2	3	ICE PALACE	Edna Ferber**ICE PALACE	B00B3GMNMS	0899682782	9780899682785
1237	H.L. Humes	1958-05-25	2	--	16	THE UNDERGROUND CITY	H.L. Humes**THE UNDERGROUND CITY	B001QA4SKQ	081297848X	9780812978483
1238	Peter De Vries	1958-05-25	8	8	9	THE MACKEREL PLAZA	Peter De Vries**THE MACKEREL PLAZA	 	0140019367	9780140019360
1239	Robert Lewis Taylor	1958-05-25	7	10	10	THE TRAVELS OF JAIMIE McPHEETERS	Robert Lewis Taylor**THE TRAVELS OF JAIMIE McPHEETERS	B004J4WLBE	0385422229	9780385422222
1240	Rumer Godden	1958-05-25	9	7	6	THE GREENGAGE SUMMER	Rumer Godden**THE GREENGAGE SUMMER	 	033032778X	9780330327787
1241	Theodore H. White	1958-05-25	2	15	14	THE MOUNTAIN ROAD	Theodore H. White**THE MOUNTAIN ROAD	 	1599880008	9781599880006
1242	Anya Seton	1958-05-25	14	3	2	THE WINTHROP WOMAN	Anya Seton**THE WINTHROP WOMAN	B00845518O	155652644X	9781556526442
1243	Helen MacInnes	1958-05-25	14	5	5	NORTH FROM ROME	Helen MacInnes**NORTH FROM ROME	 	0449209911	9780449209912
1244	James Gould Cozzens	1958-05-25	40	12	11	BY LOVE POSSESSED	James Gould Cozzens**BY LOVE POSSESSED	 	0786705035	9780786705030
1245	Sloan Wilson	1958-05-25	7	4	4	A SUMMER PLACE	Sloan Wilson**A SUMMER PLACE	 	5557019367	9785557019361
1246	Max Schulman	1958-05-25	41	9	7	RALLY ROUND THE FLAG BOYS!	Max Schulman**RALLY ROUND THE FLAG BOYS!			
1247	James Agee	1958-05-25	12	16	12	A DEATH IN THE FAMILY	James Agee**A DEATH IN THE FAMILY	B001UFP4SM	0375701230	9780375701238
1248	Robert Traver	1958-05-25	20	1	1	ANATOMY OF A MURDER	Robert Traver**ANATOMY OF A MURDER	B00699QULE	0312033567	9780312033569
1249	Dennis Murphy	1958-05-25	10	6	8	THE SERGEANT	Dennis Murphy**THE SERGEANT	 	 	 
1250	Betty Smith	1958-05-25	15	11	13	MAGGIE-NOW	Betty Smith**MAGGIE-NOW	 	0892440546	9780892440542
1251	Thomas Tryon	1971-08-08	10	2	3	THE OTHER	Thomas Tryon**THE OTHER	B007SGV7HY	0440167361	9780440167365
1252	Leon Uris	1971-08-08	38	7	10	QB VII	Leon Uris**QB VII	 	1480430463	9781480430464
1253	James A. Michener	1971-08-08	9	6	5	THE DRIFTERS	James A. Michener**THE DRIFTERS	B00H6JHMHM	0449213536	9780449213537
