	author	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title	author_title	asin	isbn10	isbn13
0	Thomas B. Costain	1958-01-26	18	3	4	BELOW THE SALT	Thomas B. Costain**BELOW THE SALT	 	038504884X	9780385048842
1	Elizabeth Goudge	1958-01-26	3	7	6	THE WHITE WITCH	Elizabeth Goudge**THE WHITE WITCH	B01BH7CLA6	0515041602	9780515041606
2	Richard Mason	1958-01-26	27	15	12	THE WORLD OF SUZIE WONG	Richard Mason**THE WORLD OF SUZIE WONG	 	 	 
3	Mary Ellen Chase	1958-01-26	12	9	8	THE EDGE OF DARKNESS	Mary Ellen Chase**THE EDGE OF DARKNESS	 	 	 
4	James Jones	1958-01-26	3	4	5	SOME CAME RUNNING	James Jones**SOME CAME RUNNING	B0067F6WWM	0440182611	9780440182610
5	Paul Gallico	1958-01-26	7	13	14	THOMASINA	Paul Gallico**THOMASINA	 	0930330935	9780930330934
6	Grace Metalious	1958-01-26	72	14	16	PEYTON PLACE	Grace Metalious**PEYTON PLACE	B004P1JFIS	1555534007	9781555534004
7	James Gould Cozzens	1958-01-26	23	1	1	BY LOVE POSSESSED	James Gould Cozzens**BY LOVE POSSESSED	 	0786705035	9780786705030
8	Ayn Rand	1958-01-26	18	6	9	ATLAS SHRUGGED	Ayn Rand**ATLAS SHRUGGED	B003V8B5XO	0452011876	9780452011878
9	Nevil Shute	1958-01-26	27	11	15	ON THE BEACH	Nevil Shute**ON THE BEACH	B0035JEPAO	1842322761	9781842322765
10	Max Schulman	1958-01-26	24	2	2	RALLY ROUND THE FLAG BOYS!	Max Schulman**RALLY ROUND THE FLAG BOYS!			
11	James Agee	1958-01-26	7	12	13	A DEATH IN THE FAMILY	James Agee**A DEATH IN THE FAMILY	B001UFP4SM	0375701230	9780375701238
12	Stringfellow Barr	1958-01-26	1	--	11	PURELY ACADEMIC	Stringfellow Barr**PURELY ACADEMIC	 	068566144X	9780685661444
13	Myron S. Kaufmann	1958-01-26	20	10	10	REMEMBER ME TO GOD	Myron S. Kaufmann**REMEMBER ME TO GOD	 	0451015789	9780451015785
14	Taylor Caldwell	1958-01-26	16	8	7	THE SOUND OF THUNDER	Taylor Caldwell**THE SOUND OF THUNDER	 	0553235206	9780553235203
15	Robert Traver	1958-01-26	3	5	3	ANATOMY OF A MURDER	Robert Traver**ANATOMY OF A MURDER	B00699QULE	0312033567	9780312033569
16	Mika Waltari	1950-04-30	36	4	5	THE EGYPTIAN	Mika Waltari**THE EGYPTIAN	 	 	 
17	C.S. Forester	1950-04-30	7	9	8	MR.MIDSHIPMAN HORNBLOWER	C.S. Forester**MR.MIDSHIPMAN HORNBLOWER	B004Z1GBEO	0316290602	9780316290609
18	Robert Wilder	1950-04-30	5	7	10	WAIT FOR TOMORROW	Robert Wilder**WAIT FOR TOMORROW	 	 	 
19	Henry Morton Robinson	1950-04-30	6	1	1	THE CARDINAL	Henry Morton Robinson**THE CARDINAL	 	0671814524	9780671814526
20	Joyce Cary	1950-04-30	14	11	6	THE HORSE'S MOUTH	Joyce Cary**THE HORSE'S MOUTH	 	0940322196	9780940322196
21	Kathleen Winsor	1950-04-30	3	5	4	STAR MONEY	Kathleen Winsor**STAR MONEY	 	0451008685	9780451008688
22	Max Shulman	1950-04-30	3	14	13	SLEEP TILL NOON	Max Shulman**SLEEP TILL NOON	 	 	 
23	John Hersey	1950-04-30	10	2	2	THE WALL	John Hersey**THE WALL	 	0394756967	9780394756967
24	Nelson Algren	1950-04-30	23	16	15	THE MAN WITH THE GOLDEN ARM	Nelson Algren**THE MAN WITH THE GOLDEN ARM	 	1583220089	9781583220085
25	Margaret Kennedy	1950-04-30	6	6	7	THE FEAST	Margaret Kennedy**THE FEAST	 	0718208110	9780718208110
26	Samuel Shellabarger	1950-04-30	7	12	9	THE KING'S CAVALIER	Samuel Shellabarger**THE KING'S CAVALIER	 	 	 
27	Daphne du Maurier	1950-04-30	18	8	11	THE PARASITES	Daphne du Maurier**THE PARASITES	 	0316253502	9780316253505
28	Nelia Gardner White	1950-04-30	8	--	14	THE PINK HOUSE	Nelia Gardner White**THE PINK HOUSE	 	 	 
29	Henry Green	1950-04-30	5	10	12	NOTHING	Henry Green**NOTHING	 	1564782603	9781564782601
30	Gwen Bristow	1950-04-30	12	3	3	JUBILEE TRAIL	Gwen Bristow**JUBILEE TRAIL	B00K04NWL0	1556526016	9781556526015
31	Sholem Asch	1950-04-30	29	--	16	MARY	Sholem Asch**MARY	 	0881841412	9780881841411
32	Edwin O'Connor	1956-05-06	13	1	1	THE LAST HURRAH	Edwin O'Connor**THE LAST HURRAH	 	0316626597	9780316626590
33	Patrick Dennis	1956-05-06	62	7	6	AUNTIE MAME	Patrick Dennis**AUNTIE MAME	B000FC1GPG	0767908198	9780767908191
34	Willi Heinrich	1956-05-06	1	--	15	THE CROSS OF IRON	Willi Heinrich**THE CROSS OF IRON	 	0304352411	9780304352418
35	A.M. Maughan	1956-05-06	6	12	11	HARRY OF MONMOUTH	A.M. Maughan**HARRY OF MONMOUTH	 	0340026065	9780340026069
36	Herman Wouk	1956-05-06	36	13	12	MARJORIE MORNINGSTAR	Herman Wouk**MARJORIE MORNINGSTAR	B009NL76FE	0316955132	9780316955133
37	Alec Waugh	1956-05-06	18	10	13	ISLAND IN THE SUN	Alec Waugh**ISLAND IN THE SUN	B005O7VFF8	9997409124	9789997409126
38	MacKinlay Kantor	1956-05-06	29	5	4	ANDERSONVILLE	MacKinlay Kantor**ANDERSONVILLE	B00OQSF5XE	0452269563	9780452269569
39	Aubrey Menen	1956-05-06	3	14	16	THE ABODE OF LOVE	Aubrey Menen**THE ABODE OF LOVE	 	0140123466	9780140123463
40	Peter De Vries	1956-05-06	1	--	10	COMFORT ME WITH APPLES	Peter De Vries**COMFORT ME WITH APPLES	 	0316181749	9780316181747
41	Pearl S. Buck	1956-05-06	6	2	2	IMPERIAL WOMAN	Pearl S. Buck**IMPERIAL WOMAN	B00CLVB9JW	1559210354	9781559210355
42	Sloan Wilson	1956-05-06	43	8	8	THE MAN IN THE GRAY FLANNEL SUIT	Sloan Wilson**THE MAN IN THE GRAY FLANNEL SUIT	B004JN0FCM	1568582463	9781568582467
43	Cameron Hawley	1956-05-06	26	15	14	CASH McCALL	Cameron Hawley**CASH McCALL	B016XE7FCC	0892440384	9780892440382
44	John O'Hara	1956-05-06	24	4	7	TEN NORTH FREDERICK	John O'Hara**TEN NORTH FREDERICK	B00G3L138I	0394448146	9780394448145
45	Graham Greene	1956-05-06	9	6	5	THE QUIET AMERICAN	Graham Greene**THE QUIET AMERICAN	 	0143039024	9780143039020
46	Santha Rama Rau	1956-05-06	2	9	9	REMEMBER THE HOUSE	Santha Rama Rau**REMEMBER THE HOUSE	 	006013495X	9780060134952
47	Irwin Shaw	1956-05-06	7	3	3	LUCY CROWN	Irwin Shaw**LUCY CROWN	 	 	 
48	Elia Kazan	1967-11-19	41	6	8	THE ARRANGEMENT	Elia Kazan**THE ARRANGEMENT	 	0812810147	9780812810141
49	Ira Levin	1967-11-19	26	8	7	ROSEMARY'S BABY	Ira Levin**ROSEMARY'S BABY	B00T5PI5Z8	0451194004	9780451194008
50	Henry Sutton	1967-11-19	1	--	4	THE EXHIBITIONIST	Henry Sutton**THE EXHIBITIONIST	 	8203847080	9788203847080
51	Catherine Marshall	1967-11-19	5	5	5	CHRISTY	Catherine Marshall**CHRISTY	 	0310241634	9780310241638
52	Mary Stewart	1967-11-19	10	3	3	THE GABRIEL HOUNDS	Mary Stewart**THE GABRIEL HOUNDS	 	0061145394	9780061145391
53	Leon Uris	1967-11-19	10	2	2	TOPAZ	Leon Uris**TOPAZ	 	 	 
54	William Styron	1967-11-19	7	1	1	THE CONFESSIONS OF NAT TURNER	William Styron**THE CONFESSIONS OF NAT TURNER	B00B06NAAA	0679736638	9780679736639
55	Chaim Potok	1967-11-19	28	4	6	THE CHOSEN	Chaim Potok**THE CHOSEN	B01BCEPO58	0449213447	9780449213445
56	Elliott Arnold	1967-11-19	18	7	9	A NIGHT OF WATCHING	Elliott Arnold**A NIGHT OF WATCHING	 	9997406249	9789997406248
57	Robert J. Serling	1967-11-19	2	10	10	THE PRESIDENT'S PLANE IS MISSING	Robert J. Serling**THE PRESIDENT'S PLANE IS MISSING	 	0340105267	9780340105269
58	Elia Kazan	1967-11-12	40	6	6	THE ARRANGEMENT	Elia Kazan**THE ARRANGEMENT	 	0812810147	9780812810141
59	Ira Levin	1967-11-12	25	7	8	ROSEMARY'S BABY	Ira Levin**ROSEMARY'S BABY	B00T5PI5Z8	0451194004	9780451194008
60	Chaim Potok	1967-11-12	27	4	4	THE CHOSEN	Chaim Potok**THE CHOSEN	B01BCEPO58	0449213447	9780449213445
61	Sarah Gainham	1967-11-12	15	10	9	NIGHT FALLS ON THE CITY	Sarah Gainham**NIGHT FALLS ON THE CITY	 	0030624401	9780030624407
62	Mary Stewart	1967-11-12	9	3	3	THE GABRIEL HOUNDS	Mary Stewart**THE GABRIEL HOUNDS	 	0061145394	9780061145391
63	Leon Uris	1967-11-12	9	2	2	TOPAZ	Leon Uris**TOPAZ	 	 	 
64	William Styron	1967-11-12	6	1	1	THE CONFESSIONS OF NAT TURNER	William Styron**THE CONFESSIONS OF NAT TURNER	B00B06NAAA	0679736638	9780679736639
65	Catherine Marshall	1967-11-12	4	5	5	CHRISTY	Catherine Marshall**CHRISTY	 	0310241634	9780310241638
66	Elliott Arnold	1967-11-12	17	8	7	A NIGHT OF WATCHING	Elliott Arnold**A NIGHT OF WATCHING	 	9997406249	9789997406248
67	Robert J. Serling	1967-11-12	1	--	10	THE PRESIDENT'S PLANE IS MISSING	Robert J. Serling**THE PRESIDENT'S PLANE IS MISSING	 	0340105267	9780340105269
68	Herman Wouk	1953-05-17	111	 10	11	THE CAINE MUTINY	Herman Wouk**THE CAINE MUTINY	B009NLFJ80	0316955108	9780316955102
69	Thomas B. Costain	1953-05-17	44	2	2	THE SILVER CHALICE	Thomas B. Costain**THE SILVER CHALICE	B0060AY8UW	0829423508	9780829423501
70	Rosamond Lehmann	1953-05-17	1	--	9	THE ECHOING GROVE	Rosamond Lehmann**THE ECHOING GROVE	B00YTFTAA8	1844080366	9781844080366
71	Daphne du Maurier	1953-05-17	10	4	4	KISS ME AGAIN, STRANGER	Daphne du Maurier**KISS ME AGAIN, STRANGER	 	0671753282	9780671753283
72	Oakley Hall	1953-05-17	5	14	15	CORPUS OF JOE BAILEY	Oakley Hall**CORPUS OF JOE BAILEY	 	0877956537	9780877956532
73	Francis Van Wyck Mason	1953-05-17	13	3	3	GOLDEN ADMIRAL	Francis Van Wyck Mason**GOLDEN ADMIRAL			
74	Leon Uris	1953-05-17	3	6	6	BATTLE CRY	Leon Uris**BATTLE CRY	B0018ND8AC	006075186X	9780060751869
75	Ernest K. Gann	1953-05-17	4	12	7	THE HIGH AND THE MIGHTY	Ernest K. Gann**THE HIGH AND THE MIGHTY	 	0671827634	9780671827632
76	J.D. Salinger	1953-05-17	6	11	16	NINE STORIES	J.D. Salinger**NINE STORIES	 	0316767727	9780316767729
77	Annemarie Selinko	1953-05-17	18	1	1	DESIREE	Annemarie Selinko**DESIREE	 	8493388335	9788493388331
78	Nevil Shute	1953-05-17	2	13	12	IN THE WET	Nevil Shute**IN THE WET	 	1842322540	9781842322543
79	Jay Richard Kennedy	1953-05-17	10	9	8	PRINCE BART	Jay Richard Kennedy**PRINCE BART	 	 	 
80	Paul Hyde Bonner	1953-05-17	6	7	5	HOTEL TALLYRAND	Paul Hyde Bonner**HOTEL TALLYRAND			
81	Nikos Kazantzakis	1953-05-17	3	--	13	ZORBA THE GREEK	Nikos Kazantzakis**ZORBA THE GREEK	B0073GUME8	0571203132	9780571203130
82	Frances Parkinson Keyes	1953-05-17	27	5	10	STEAMBOAT GOTHIC	Frances Parkinson Keyes**STEAMBOAT GOTHIC	 	9997403479	9789997403476
83	John Steinbeck	1953-05-17	35	8	14	EAST OF EDEN	John Steinbeck**EAST OF EDEN	B001BC5HXG	0142000655	9780142000656
84	Herman Wouk	1953-05-10	110	 9	10	THE CAINE MUTINY	Herman Wouk**THE CAINE MUTINY	B009NLFJ80	0316955108	9780316955102
85	Thomas B. Costain	1953-05-10	43	2	2	THE SILVER CHALICE	Thomas B. Costain**THE SILVER CHALICE	B0060AY8UW	0829423508	9780829423501
86	Storm Jameson	1953-05-10	8	15	15	THE GREEN MAN	Storm Jameson**THE GREEN MAN	 	 	 
87	Daphne du Maurier	1953-05-10	9	4	4	KISS ME AGAIN, STRANGER	Daphne du Maurier**KISS ME AGAIN, STRANGER	 	0671753282	9780671753283
88	Leon Uris	1953-05-10	2	13	6	BATTLE CRY	Leon Uris**BATTLE CRY	B0018ND8AC	006075186X	9780060751869
89	Francis Van Wyck Mason	1953-05-10	12	3	3	GOLDEN ADMIRAL	Francis Van Wyck Mason**GOLDEN ADMIRAL			
90	John Steinbeck	1953-05-10	34	7	8	EAST OF EDEN	John Steinbeck**EAST OF EDEN	B001BC5HXG	0142000655	9780142000656
91	Ernest K. Gann	1953-05-10	3	14	12	THE HIGH AND THE MIGHTY	Ernest K. Gann**THE HIGH AND THE MIGHTY	 	0671827634	9780671827632
92	J.D. Salinger	1953-05-10	5	12	11	NINE STORIES	J.D. Salinger**NINE STORIES	 	0316767727	9780316767729
93	Annemarie Selinko	1953-05-10	17	1	1	DESIREE	Annemarie Selinko**DESIREE	 	8493388335	9788493388331
94	Nevil Shute	1953-05-10	1	--	13	IN THE WET	Nevil Shute**IN THE WET	 	1842322540	9781842322543
95	Jay Richard Kennedy	1953-05-10	9	5	9	PRINCE BART	Jay Richard Kennedy**PRINCE BART	 	 	 
96	Paul Hyde Bonner	1953-05-10	5	6	7	HOTEL TALLYRAND	Paul Hyde Bonner**HOTEL TALLYRAND			
97	Oakley Hall	1953-05-10	4	11	14	CORPUS OF JOE BAILEY	Oakley Hall**CORPUS OF JOE BAILEY	 	0877956537	9780877956532
98	Ilona Karmel	1953-05-10	3	--	16	STEPHANIA	Ilona Karmel**STEPHANIA	 	 	 
99	Frances Parkinson Keyes	1953-05-10	26	8	5	STEAMBOAT GOTHIC	Frances Parkinson Keyes**STEAMBOAT GOTHIC	 	9997403479	9789997403476
100	Taylor Caldwell	1954-05-02	1	--	11	NEVER VICTORIOUS, NEVER DEFEATED	Taylor Caldwell**NEVER VICTORIOUS, NEVER DEFEATED	 	044631076X	9780446310765
101	Paul Wellman	1954-05-02	31	14	15	THE FEMALE	Paul Wellman**THE FEMALE	 	 	 
102	Kenneth Dodson	1954-05-02	9	4	4	AWAY ALL BOATS	Kenneth Dodson**AWAY ALL BOATS	 	1557501734	9781557501738
103	John Masters	1954-05-02	5	6	5	BHOWANI JUNCTION	John Masters**BHOWANI JUNCTION	B00WGF42A6	0285636049	9780285636040
104	Philip Wylie	1954-05-02	15	13	14	TOMORROW!	Philip Wylie**TOMORROW!	B00OPJW8S4	9997410602	9789997410603
105	Ernest K. Gann	1954-05-02	54	8	9	THE HIGH AND THE MIGHTY	Ernest K. Gann**THE HIGH AND THE MIGHTY	 	0671827634	9780671827632
106	Harriette Arnow	1954-05-02	1	--	13	THE DOLLMAKER	Harriette Arnow**THE DOLLMAKER	B0041D8478	0060529342	9780060529345
107	Frank G. Slaughter	1954-05-02	2	12	12	THE SONG OF RUTH	Frank G. Slaughter**THE SONG OF RUTH	 	 	 
108	Morton Thompson	1954-05-02	17	1	1	NOT AS A STRANGER	Morton Thompson**NOT AS A STRANGER	 	1568491182	9781568491189
109	James A. Michener	1954-05-02	14	3	3	SAYONARA	James A. Michener**SAYONARA	B00H6JHM68	0449204146	9780449204146
110	Lawrence Schoonover	1954-05-02	5	10	8	THE SPIDER KING	Lawrence Schoonover**THE SPIDER KING	 	0855948817	9780855948818
111	Norah Lofts	1954-05-02	6	2	2	BLESS THIS HOUSE	Norah Lofts**BLESS THIS HOUSE	B006N0L5E6	0449244717	9780449244715
112	Davis Grubb	1954-05-02	10	5	6	THE NIGHT OF THE HUNTER	Davis Grubb**THE NIGHT OF THE HUNTER	B00QP3RP0O	1596542292	9781596542297
113	Joseph Hayes	1954-05-02	7	9	16	THE DESPERATE HOURS	Joseph Hayes**THE DESPERATE HOURS	B00I0BSYCM	0881841722	9780881841725
114	Margery Sharp	1954-05-02	2	11	10	THE GIPSY IN THE PARLOUR	Margery Sharp**THE GIPSY IN THE PARLOUR	 	 	 
115	Samuel Shellabarger	1954-05-02	28	7	7	LORD VANITY	Samuel Shellabarger**LORD VANITY	 	 	 
116	Kurt Vonnegut	1969-07-20	15	8	9	SLAUGHTERHOUSE FIVE	Kurt Vonnegut**SLAUGHTERHOUSE FIVE	B003XVYLDU	0385333846	9780385333849
117	Vladimir Nabokov	1969-07-20	11	4	5	ADA, OR ARDOR: A FAMILY CHRONICLE	Vladimir Nabokov**ADA, OR ARDOR: A FAMILY CHRONICLE	B004KABDPM	0679725229	9780679725220
118	Jessamyn West	1969-07-20	16	6	6	EXCEPT FOR ME AND THEE	Jessamyn West**EXCEPT FOR ME AND THEE	 	0380011719	9780380011711
119	Eugenia Price	1969-07-20	3	10	10	NEW MOON RISING	Eugenia Price**NEW MOON RISING	B00866Q388	1577361814	9781577361817
120	Philip Roth	1969-07-20	24	2	2	PORTNOY'S COMPLAINT	Philip Roth**PORTNOY'S COMPLAINT	B003WUYR8Q	0099399016	9780099399018
121	Mario Puzo	1969-07-20	19	3	3	THE GODFATHER	Mario Puzo**THE GODFATHER	B0022Q8CSC	0451205766	9780451205766
122	Jacqueline Susann	1969-07-20	11	1	1	THE LOVE MACHINE	Jacqueline Susann**THE LOVE MACHINE	B017A24T5M	0802135447	9780802135445
123	Gladys Rockmore Davis	1969-07-20	3	7	7	THE PRETENDERS	Gladys Rockmore Davis**THE PRETENDERS	B005K161GG	0451075412	9780451075413
124	Michael Crichton	1969-07-20	6	5	4	THE ANDROMEDA STRAIN	Michael Crichton**THE ANDROMEDA STRAIN	B007UH4EPS	0060541814	9780060541811
125	Ross MacDonald	1969-07-20	5	9	8	THE GOODBYE LOOK	Ross MacDonald**THE GOODBYE LOOK			
126	Taylor Caldwell	1954-05-09	2	11	6	NEVER VICTORIOUS, NEVER DEFEATED	Taylor Caldwell**NEVER VICTORIOUS, NEVER DEFEATED	 	044631076X	9780446310765
127	Paul Wellman	1954-05-09	32	15	16	THE FEMALE	Paul Wellman**THE FEMALE	 	 	 
128	Kenneth Dodson	1954-05-09	10	4	4	AWAY ALL BOATS	Kenneth Dodson**AWAY ALL BOATS	 	1557501734	9781557501738
129	John Masters	1954-05-09	6	5	7	BHOWANI JUNCTION	John Masters**BHOWANI JUNCTION	B00WGF42A6	0285636049	9780285636040
130	Norah Lofts	1954-05-09	7	2	2	BLESS THIS HOUSE	Norah Lofts**BLESS THIS HOUSE	B006N0L5E6	0449244717	9780449244715
131	Ernest K. Gann	1954-05-09	55	9	11	THE HIGH AND THE MIGHTY	Ernest K. Gann**THE HIGH AND THE MIGHTY	 	0671827634	9780671827632
132	Harriette Arnow	1954-05-09	2	13	12	THE DOLLMAKER	Harriette Arnow**THE DOLLMAKER	B0041D8478	0060529342	9780060529345
133	Frank G. Slaughter	1954-05-09	3	12	10	THE SONG OF RUTH	Frank G. Slaughter**THE SONG OF RUTH	 	 	 
134	Morton Thompson	1954-05-09	18	1	1	NOT AS A STRANGER	Morton Thompson**NOT AS A STRANGER	 	1568491182	9781568491189
135	James A. Michener	1954-05-09	15	3	3	SAYONARA	James A. Michener**SAYONARA	B00H6JHM68	0449204146	9780449204146
136	Lawrence Schoonover	1954-05-09	6	8	8	THE SPIDER KING	Lawrence Schoonover**THE SPIDER KING	 	0855948817	9780855948818
137	Philip Wylie	1954-05-09	16	14	14	TOMORROW!	Philip Wylie**TOMORROW!	B00OPJW8S4	9997410602	9789997410603
138	Davis Grubb	1954-05-09	11	6	5	THE NIGHT OF THE HUNTER	Davis Grubb**THE NIGHT OF THE HUNTER	B00QP3RP0O	1596542292	9781596542297
139	Joseph Hayes	1954-05-09	8	16	15	THE DESPERATE HOURS	Joseph Hayes**THE DESPERATE HOURS	B00I0BSYCM	0881841722	9780881841725
140	Margery Sharp	1954-05-09	3	10	9	THE GIPSY IN THE PARLOUR	Margery Sharp**THE GIPSY IN THE PARLOUR	 	 	 
141	Samuel Shellabarger	1954-05-09	29	7	13	LORD VANITY	Samuel Shellabarger**LORD VANITY	 	 	 
142	Noah Gordon	1969-07-27	1	--	9	THE DEATH COMMITTEE	Noah Gordon**THE DEATH COMMITTEE	B00840CXAS	075150792X	9780751507928
143	Vladimir Nabokov	1969-07-27	12	5	5	ADA, OR ARDOR: A FAMILY CHRONICLE	Vladimir Nabokov**ADA, OR ARDOR: A FAMILY CHRONICLE	B004KABDPM	0679725229	9780679725220
144	Ross MacDonald	1969-07-27	6	8	7	THE GOODBYE LOOK	Ross MacDonald**THE GOODBYE LOOK			
145	Eugenia Price	1969-07-27	4	10	10	NEW MOON RISING	Eugenia Price**NEW MOON RISING	B00866Q388	1577361814	9781577361817
146	Philip Roth	1969-07-27	25	2	3	PORTNOY'S COMPLAINT	Philip Roth**PORTNOY'S COMPLAINT	B003WUYR8Q	0099399016	9780099399018
147	Mario Puzo	1969-07-27	20	3	2	THE GODFATHER	Mario Puzo**THE GODFATHER	B0022Q8CSC	0451205766	9780451205766
148	Jacqueline Susann	1969-07-27	12	1	1	THE LOVE MACHINE	Jacqueline Susann**THE LOVE MACHINE	B017A24T5M	0802135447	9780802135445
149	Gladys Rockmore Davis	1969-07-27	4	7	6	THE PRETENDERS	Gladys Rockmore Davis**THE PRETENDERS	B005K161GG	0451075412	9780451075413
150	Michael Crichton	1969-07-27	7	4	4	THE ANDROMEDA STRAIN	Michael Crichton**THE ANDROMEDA STRAIN	B007UH4EPS	0060541814	9780060541811
151	Jessamyn West	1969-07-27	17	6	8	EXCEPT FOR ME AND THEE	Jessamyn West**EXCEPT FOR ME AND THEE	 	0380011719	9780380011711
152	Noel Coward	1961-03-26	19	12	13	POMP AND CIRCUMSTANCE	Noel Coward**POMP AND CIRCUMSTANCE	 	0413563707	9780413563705
153	F. Van Wyck Mason	1961-03-26	3	15	12	MANILA GALLEON	F. Van Wyck Mason**MANILA GALLEON	 	 	 
154	Graham Greene	1961-03-26	7	4	3	A BURNT-OUT CASE	Graham Greene**A BURNT-OUT CASE	 	0099478439	9780099478430
155	Allen Drury	1961-03-26	87	 3	4	ADVISE AND CONSENT	Allen Drury**ADVISE AND CONSENT	B00HRHE2FS	0380010070	9780380010073
156	Irving Stone	1961-03-26	2	10	6	THE AGONY AND THE ECSTASY	Irving Stone**THE AGONY AND THE ECSTASY	 	0451171357	9780451171351
157	Helen MacInnes	1961-03-26	22	11	11	DECISION AT DELPHI	Helen MacInnes**DECISION AT DELPHI	B00BE24V8U	0854562206	9780854562206
158	A.A. Milnei	1961-03-26	7	7	9	WINNIE ILLE PU	A.A. Milnei**WINNIE ILLE PU			
159	John Dos Passos	1961-03-26	4	6	7	MIDCENTURY	John Dos Passos**MIDCENTURY	 	 	 
160	Sloan Wilson	1961-03-26	10	--	15	A SENSE OF VALUES	Sloan Wilson**A SENSE OF VALUES	 	070660427X	9780706604276
161	Frances Parkinson Keyes	1961-03-26	13	13	16	THE CHESS PLAYERS	Frances Parkinson Keyes**THE CHESS PLAYERS	 	9997403460	9789997403469
162	James Michener	1961-03-26	73	 2	2	HAWAII	James Michener**HAWAII	 	0375760377	9780375760372
163	Harper Lee	1961-03-26	36	5	5	TO KILL A MOCKINGBIRD	Harper Lee**TO KILL A MOCKINGBIRD	B00K0OI42W	0061120081	9780061120084
164	Rumer Godden	1961-03-26	3	8	8	CHINA COURT	Rumer Godden**CHINA COURT	 	0688117228	9780688117221
165	John O'Hara	1961-03-26	17	9	10	SERMONS AND SODA WATER	John O'Hara**SERMONS AND SODA WATER	 	0881842710	9780881842715
166	Andre Schwarz-Bart	1961-03-26	21	1	1	THE LAST OF THE JUST	Andre Schwarz-Bart**THE LAST OF THE JUST	B013JQM7E8	1585670162	9781585670161
167	Margery Sharp	1961-03-26	1	--	14	SOMETHING LIGHT	Margery Sharp**SOMETHING LIGHT	 	 	 
168	Patrick Dennis	1955-10-23	34	2	2	AUNTIE MAME	Patrick Dennis**AUNTIE MAME	B000FC1GPG	0767908198	9780767908191
169	Thomas Mann	1955-10-23	5	8	10	CONFESSIONS OF FELIX KRULL	Thomas Mann**CONFESSIONS OF FELIX KRULL	 	0679739041	9780679739043
170	Robert Penn Warren	1955-10-23	10	7	8	BAND OF ANGELS	Robert Penn Warren**BAND OF ANGELS	 	0807119466	9780807119464
171	Frank Yerby	1955-10-23	1	--	16	THE TREASURE OF PLEASANT VALLEY	Frank Yerby**THE TREASURE OF PLEASANT VALLEY	 	0450006476	9780450006470
172	Francoise Sagan	1955-10-23	34	6	6	BONJOUR TRISTESSE	Francoise Sagan**BONJOUR TRISTESSE	 	2266127748	9782266127745
173	Herman Wouk	1955-10-23	8	1	1	MARJORIE MORNINGSTAR	Herman Wouk**MARJORIE MORNINGSTAR	B009NL76FE	0316955132	9780316955133
174	MacKinlay Kantor	1955-10-23	1	--	14	ANDERSONVILLE	MacKinlay Kantor**ANDERSONVILLE	B00OQSF5XE	0452269563	9780452269569
175	Nigel Dennis	1955-10-23	1	--	11	CARDS OF IDENTITY	Nigel Dennis**CARDS OF IDENTITY	 	1564783197	9781564783196
176	Norman Mailer	1955-10-23	2	10	7	THE DEER PARK	Norman Mailer**THE DEER PARK	B00ERTF0PU	0349109974	9780349109978
177	Howard Spring	1955-10-23	2	13	9	THESE LOVERS FLED AWAY	Howard Spring**THESE LOVERS FLED AWAY	 	0002218178	9780002218177
178	Robert Ruark	1955-10-23	27	5	5	SOMETHING OF VALUE	Robert Ruark**SOMETHING OF VALUE	 	0241906121	9780241906125
179	Sloan Wilson	1955-10-23	15	3	4	THE MAN IN THE GRAY FLANNEL SUIT	Sloan Wilson**THE MAN IN THE GRAY FLANNEL SUIT	B004JN0FCM	1568582463	9781568582467
180	Thomas B. Costain	1955-10-23	5	4	3	THE TONTINE	Thomas B. Costain**THE TONTINE	 	9997408039	9789997408037
181	Samuel Hopkins Adams	1955-10-23	13	14	12	GRANDFATHER STORIES	Samuel Hopkins Adams**GRANDFATHER STORIES	 	0815602324	9780815602323
182	Harnett T. Kane	1955-10-23	1	--	13	THE SMILING REBEL	Harnett T. Kane**THE SMILING REBEL	 	 	 
183	Lionel Shapiro	1955-10-23	11	9	15	THE SIXTH OF JUNE	Lionel Shapiro**THE SIXTH OF JUNE	 	1125768258	 
184	Angela Mackail Thirkell	1952-09-28	1	--	13	HAPPY RETURN	Angela Mackail Thirkell**HAPPY RETURN			
185	Thomas B. Costain	1952-09-28	11	1	1	THE SILVER CHALICE	Thomas B. Costain**THE SILVER CHALICE	B0060AY8UW	0829423508	9780829423501
186	Edna Ferber	1952-09-28	1	--	12	GIANT	Edna Ferber**GIANT	B00D185Z1C	0060956704	9780060956707
187	Giovanni Guareschi	1952-09-28	7	7	9	DON CAMILLO AND HIS FLOCK	Giovanni Guareschi**DON CAMILLO AND HIS FLOCK			
188	Pamela Hansford Johnson	1952-09-28	10	11	16	CATHERINE CARTER	Pamela Hansford Johnson**CATHERINE CARTER	 	0333084640	9780333084649
189	Ernest Hemingway	1952-09-28	5	3	4	THE OLD MAN AND THE SEA	Ernest Hemingway**THE OLD MAN AND THE SEA	B000FC0SH8	0684830493	9780684830490
190	Herman Wouk	1952-09-28	78	 2	2	THE CAINE MUTINY	Herman Wouk**THE CAINE MUTINY	B009NLFJ80	0316955108	9780316955102
191	John Steinbeck	1952-09-28	2	6	3	EAST OF EDEN	John Steinbeck**EAST OF EDEN	B001BC5HXG	0142000655	9780142000656
