	author	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title	asin	author_title
0	David Baldacci	0446195529	9780446195522	2011-01-16	10	15	15	HELL'S CORNER		David Baldacci**HELL'S CORNER
1	Lisa Genova	1439164630	9781439164631	2011-01-16	0	0	17	LEFT NEGLECTED		Lisa Genova**LEFT NEGLECTED
2	Emma Donoghue	0316098337	9780316098335	2011-01-16	10	14	11	ROOM		Emma Donoghue**ROOM
3	Stieg Larsson	030726999X	9780307269997	2011-01-16	34	1	3	THE GIRL WHO KICKED THE HORNET’S NEST		Stieg Larsson**THE GIRL WHO KICKED THE HORNET’S NEST
4	Jonathan Franzen	0312600844	9780312600846	2011-01-16	17	7	10	FREEDOM		Jonathan Franzen**FREEDOM
5	David Sedaris	0316038393	9780316038393	2011-01-16	0	0	19	SQUIRREL SEEKS CHIPMUNK		David Sedaris**SQUIRREL SEEKS CHIPMUNK
6	John Lescroart	0525951768	9780525951766	2011-01-16	2	12	14	DAMAGE		John Lescroart**DAMAGE
7	Robert Crais	0399157077	9780399157073	2011-01-16	1	0	2	THE SENTRY		Robert Crais**THE SENTRY
8	Patricia Cornwell	0399157212	9780399157219	2011-01-16	7	11	16	PORT MORTUARY		Patricia Cornwell**PORT MORTUARY
9	Brad Meltzer	0446577898	9780446577892	2011-01-16	1	0	1	THE INNER CIRCLE		Brad Meltzer**THE INNER CIRCLE
10	Dean Koontz	0553807722	9780553807721	2011-01-16	3	2	5	WHAT THE NIGHT KNOWS		Dean Koontz**WHAT THE NIGHT KNOWS
11	W E B Griffin and William E Butterworth IV	0399156836	9780399156830	2011-01-16	3	6	12	THE OUTLAWS		W E B Griffin and William E Butterworth IV**THE OUTLAWS
12	Tami Hoag	052595192X	9780525951926	2011-01-16	3	10	13	SECRETS TO THE GRAVE		Tami Hoag**SECRETS TO THE GRAVE
13	John Grisham	0385528043	9780385528047	2011-01-16	12	4	7	THE CONFESSION		John Grisham**THE CONFESSION
14	Kathryn Stockett	0399155341	9780399155345	2011-01-16	94	5	6	THE HELP		Kathryn Stockett**THE HELP
15	Jack Higgins	0399156844	9780399156847	2011-01-16	0	0	20	THE JUDAS GATE		Jack Higgins**THE JUDAS GATE
16	Kim Edwards	0670022179	9780670022175	2011-01-16	0	0	18	THE LAKE OF DREAMS		Kim Edwards**THE LAKE OF DREAMS
17	Anders Roslund and Borge Hellstrom	1402785925	9781402785924	2011-01-16	2	9	8	THREE SECONDS		Anders Roslund and Borge Hellstrom**THREE SECONDS
18	James Patterson	031603617X	9780316036177	2011-01-16	9	8	9	CROSS FIRE		James Patterson**CROSS FIRE
19	Tom Clancy with Grant Blackwood	0399157239	9780399157233	2011-01-16	6	3	4	DEAD OR ALIVE		Tom Clancy with Grant Blackwood**DEAD OR ALIVE
20	Michael Connelly	0316166294	9780316166294	2008-11-29	0	0	17	THE BRASS VERDICT		Michael Connelly**THE BRASS VERDICT
21	James Patterson	0316018724	9780316018722	2008-11-29	2	1	1	CROSS COUNTRY		James Patterson**CROSS COUNTRY
22	Glenn Beck with Kevin Balfe and Jason Wright	141659485X	9781416594857	2008-11-29	3	2	2	THE CHRISTMAS SWEATER		Glenn Beck with Kevin Balfe and Jason Wright**THE CHRISTMAS SWEATER
23	Wally Lamb	0060393491	9780060393496	2008-11-29	3	4	5	THE HOUR I FIRST BELIEVED		Wally Lamb**THE HOUR I FIRST BELIEVED
24	P D James	0307270777	9780307270771	2008-11-29	2	3	11	THE PRIVATE PATIENT		P D James**THE PRIVATE PATIENT
25	Stephen King	1439115303	9781439115305	2008-11-29	3	6	4	JUST AFTER SUNSET		Stephen King**JUST AFTER SUNSET
26	Sister Souljah	1416545182	9781416545187	2008-11-29	0	0	19	MIDNIGHT		Sister Souljah**MIDNIGHT
27	Dean Koontz	0553807137	9780553807134	2008-11-29	1	0	6	YOUR HEART BELONGS TO ME		Dean Koontz**YOUR HEART BELONGS TO ME
28	Nelson DeMille	0446533424	9780446533423	2008-11-29	5	8	12	THE GATE HOUSE		Nelson DeMille**THE GATE HOUSE
29	Nicholas Sparks	0446579939	9780446579933	2008-11-29	9	11	9	THE LUCKY ONE		Nicholas Sparks**THE LUCKY ONE
30	Clive Cussler and Dirk Cussler	0399155295	9780399155291	2008-11-29	1	0	3	ARCTIC DRIFT		Clive Cussler and Dirk Cussler**ARCTIC DRIFT
31	Mary Ann Shaffer and Annie Barrows	0385340990	9780385340991	2008-11-29	0	0	18	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY		Mary Ann Shaffer and Annie Barrows**THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY
32	Mary Higgins Clark and Carol Higgins Clark	1439129177	9781439129173	2008-11-29	2	9	14	DASHING THROUGH THE SNOW		Mary Higgins Clark and Carol Higgins Clark**DASHING THROUGH THE SNOW
33	Toni Morrison	0307264238	9780307264237	2008-11-29	3	7	15	A MERCY		Toni Morrison**A MERCY
34	Jim Butcher	0441016383	9780441016389	2008-11-29	1	0	13	PRINCEPS’ FURY		Jim Butcher**PRINCEPS’ FURY
35	Stephenie Meyer	0316068047	9780316068048	2008-11-29	29	0	10	THE HOST		Stephenie Meyer**THE HOST
36	David Baldacci	0446195502	9780446195508	2008-11-29	4	5	8	DIVINE JUSTICE		David Baldacci**DIVINE JUSTICE
37	David Wroblewski	0061374229	9780061374227	2008-11-29	25	10	7	THE STORY OF EDGAR SAWTELLE		David Wroblewski**THE STORY OF EDGAR SAWTELLE
38	Vince Flynn	0743270428	9780743270427	2008-11-29	6	12	16	EXTREME MEASURES		Vince Flynn**EXTREME MEASURES
39	Kate Jacobs	039915583X	9780399155833	2008-11-29	0	0	20	KNIT TWO		Kate Jacobs**KNIT TWO
40	Tatiana de Rosnay	0312593317	9780312593315	2010-09-19	1	0	14	A SECRET KEPT		Tatiana de Rosnay**A SECRET KEPT
41	James Patterson and Liza Marklund	0316089516	9780316089517	2010-09-19	5	6	7	THE POSTCARD KILLERS		James Patterson and Liza Marklund**THE POSTCARD KILLERS
42	Stieg Larsson	030726999X	9780307269997	2010-09-19	17	2	4	THE GIRL WHO KICKED THE HORNET’S NEST		Stieg Larsson**THE GIRL WHO KICKED THE HORNET’S NEST
43	Emma Donoghue	0316098337	9780316098335	2010-09-19	1	0	10	ROOM		Emma Donoghue**ROOM
44	William Gibson	0399156828	9780399156823	2010-09-19	2	9	15	ZERO HISTORY		William Gibson**ZERO HISTORY
45	Jonathan Franzen	0374158460	9780374158460	2010-09-19	3	1	2	FREEDOM		Jonathan Franzen**FREEDOM
46	Ted Bell	006185929X	9780061859298	2010-09-19	1	0	9	WARLORD		Ted Bell**WARLORD
47	Sherrilyn Kenyon	0312546564	9780312546564	2010-09-19	2	3	8	NO MERCY		Sherrilyn Kenyon**NO MERCY
48	Kathy Reichs	1439102392	9781439102398	2010-09-19	0	0	16	SPIDER BONES		Kathy Reichs**SPIDER BONES
49	Clive Cussler with Grant Blackwood	0399156763	9780399156762	2010-09-19	3	7	11	LOST EMPIRE		Clive Cussler with Grant Blackwood**LOST EMPIRE
50	Christine Feehan	0425236595	9780425236598	2010-09-19	0	0	17	DARK PERIL		Christine Feehan**DARK PERIL
51	Terry McMillan	0670022047	9780670022045	2010-09-19	2	4	6	GETTING TO HAPPY		Terry McMillan**GETTING TO HAPPY
52	Brandon Sanderson	0765326353	9780765326355	2010-09-19	0	0	20	THE WAY OF KINGS		Brandon Sanderson**THE WAY OF KINGS
53	Sara Gruen	0385523211	9780385523219	2010-09-19	2	8	13	APE HOUSE		Sara Gruen**APE HOUSE
54	Jeff Lindsay	0385532350	9780385532358	2010-09-19	0	0	18	DEXTER IS DELICIOUS		Jeff Lindsay**DEXTER IS DELICIOUS
55	Kathryn Stockett	0399155341	9780399155345	2010-09-19	77	5	5	THE HELP		Kathryn Stockett**THE HELP
56	Francine Rivers	1414334095	9781414334097	2010-09-19	1	0	12	HER DAUGHTER'S DREAM		Francine Rivers**HER DAUGHTER'S DREAM
57	Nicholas Sparks	044654759X	9780446547598	2010-09-19	1	0	1	SAFE HAVEN		Nicholas Sparks**SAFE HAVEN
58	Janet Evanovich	0312652917	9780312652913	2010-09-19	1	0	3	WICKED APPETITE		Janet Evanovich**WICKED APPETITE
59	Sandra Brown	1416563105	9781416563105	2010-09-19	0	0	19	TOUGH CUSTOMER		Sandra Brown**TOUGH CUSTOMER
60	Alan Furst	1400066034	9781400066032	2010-06-27	0	0	18	SPIES OF THE BALKANS		Alan Furst**SPIES OF THE BALKANS
61	Stieg Larsson	030726999X	9780307269997	2010-06-27	5	2	2	THE GIRL WHO KICKED THE HORNET’S NEST		Stieg Larsson**THE GIRL WHO KICKED THE HORNET’S NEST
62	Scott Turow	0446562424	9780446562423	2010-06-27	0	0	17	INNOCENT		Scott Turow**INNOCENT
63	Justin Cronin	0345504968	9780345504968	2010-06-27	3	4	7	THE PASSAGE		Justin Cronin**THE PASSAGE
64	Nelson DeMille	044658083X	9780446580830	2010-06-27	3	3	5	THE LION		Nelson DeMille**THE LION
65	Dean Koontz	055380801X	9780553808018	2010-06-27	2	7	9	FRANKENSTEIN: LOST SOULS		Dean Koontz**FRANKENSTEIN: LOST SOULS
66	Charlaine Harris	0441018645	9780441018642	2010-06-27	8	13	10	DEAD IN THE FAMILY		Charlaine Harris**DEAD IN THE FAMILY
67	Dorothea Benton Frank	0061961175	9780061961175	2010-06-27	2	9	11	LOWCOUNTRY SUMMER		Dorothea Benton Frank**LOWCOUNTRY SUMMER
68	Stephen King	1451608217	9781451608212	2010-06-27	0	0	20	BLOCKADE BILLY		Stephen King**BLOCKADE BILLY
69	Karin Slaughter	0385341970	9780385341974	2010-06-27	1	0	14	BROKEN		Karin Slaughter**BROKEN
70	Catherine Coulter	0399156534	9780399156533	2010-06-27	2	5	8	WHIPLASH		Catherine Coulter**WHIPLASH
71	Janet Evanovich	0312383304	9780312383305	2010-06-27	1	0	1	SIZZLING SIXTEEN		Janet Evanovich**SIZZLING SIXTEEN
72	Lee Child	0385340583	9780385340588	2010-06-27	6	11	15	61 HOURS		Lee Child**61 HOURS
73	Glenn Beck	1439184305	9781439184301	2010-06-27	2	1	3	THE OVERTON WINDOW		Glenn Beck**THE OVERTON WINDOW
74	David Weber	1439133611	9781439133613	2010-06-27	1	0	13	MISSION OF HONOR		David Weber**MISSION OF HONOR
75	Danielle Steel	0385343167	9780385343169	2010-06-27	1	0	4	FAMILY TIES		Danielle Steel**FAMILY TIES
76	Kathryn Stockett	0399155341	9780399155345	2010-06-27	65	6	6	THE HELP		Kathryn Stockett**THE HELP
77	Clive Cussler and Justin Scott	0399156437	9780399156434	2010-06-27	4	8	12	THE SPY		Clive Cussler and Justin Scott**THE SPY
78	Eric Van Lustbader	0446539813	9780446539814	2010-06-27	0	0	19	THE BOURNE OBJECTIVE		Eric Van Lustbader**THE BOURNE OBJECTIVE
79	Emily Giffin	0312554168	9780312554163	2010-06-27	0	0	16	HEART OF THE MATTER		Emily Giffin**HEART OF THE MATTER
80	Alan Furst	1400066034	9781400066032	2010-06-20	1	0	10	SPIES OF THE BALKANS		Alan Furst**SPIES OF THE BALKANS
81	Stieg Larsson	030726999X	9780307269997	2010-06-20	4	1	2	THE GIRL WHO KICKED THE HORNET’S NEST		Stieg Larsson**THE GIRL WHO KICKED THE HORNET’S NEST
82	Scott Turow	0446562424	9780446562423	2010-06-20	7	10	12	INNOCENT		Scott Turow**INNOCENT
83	Justin Cronin	0345504968	9780345504968	2010-06-20	2	3	4	THE PASSAGE		Justin Cronin**THE PASSAGE
84	Nelson DeMille	044658083X	9780446580830	2010-06-20	2	2	3	THE LION		Nelson DeMille**THE LION
85	Dean Koontz	055380801X	9780553808018	2010-06-20	1	0	7	FRANKENSTEIN: LOST SOULS		Dean Koontz**FRANKENSTEIN: LOST SOULS
86	Charlaine Harris	0441018645	9780441018642	2010-06-20	7	6	13	DEAD IN THE FAMILY		Charlaine Harris**DEAD IN THE FAMILY
87	Dorothea Benton Frank	0061961175	9780061961175	2010-06-20	1	0	9	LOWCOUNTRY SUMMER		Dorothea Benton Frank**LOWCOUNTRY SUMMER
88	Stephen King	1451608217	9781451608212	2010-06-20	0	0	17	BLOCKADE BILLY		Stephen King**BLOCKADE BILLY
89	Johanna Lindsey	1439101078	9781439101070	2010-06-20	0	0	18	THAT PERFECT SOMEONE		Johanna Lindsey**THAT PERFECT SOMEONE
90	Catherine Coulter	0399156534	9780399156533	2010-06-20	1	0	5	WHIPLASH		Catherine Coulter**WHIPLASH
91	Lee Child	0385340583	9780385340588	2010-06-20	5	7	11	61 HOURS		Lee Child**61 HOURS
92	Glenn Beck	1439184305	9781439184301	2010-06-20	1	0	1	THE OVERTON WINDOW		Glenn Beck**THE OVERTON WINDOW
93	John Sandford	0399156496	9780399156496	2010-06-20	0	0	16	STORM PREY		John Sandford**STORM PREY
94	Eric Van Lustbader	0446539813	9780446539814	2010-06-20	3	14	14	THE BOURNE OBJECTIVE		Eric Van Lustbader**THE BOURNE OBJECTIVE
95	Kathryn Stockett	0399155341	9780399155345	2010-06-20	64	4	6	THE HELP		Kathryn Stockett**THE HELP
96	Clive Cussler and Justin Scott	0399156437	9780399156434	2010-06-20	3	5	8	THE SPY		Clive Cussler and Justin Scott**THE SPY
97	Laurell K Hamilton	0425234339	9780425234334	2010-06-20	0	0	20	BULLET		Laurell K Hamilton**BULLET
98	Emily Giffin	0312554168	9780312554163	2010-06-20	0	0	19	HEART OF THE MATTER		Emily Giffin**HEART OF THE MATTER
99	Bret Easton Ellis	0307266109	9780307266101	2010-06-20	1	0	15	IMPERIAL BEDROOMS		Bret Easton Ellis**IMPERIAL BEDROOMS
100	John Sandford	0399155678	9780399155673	2009-05-16	1	0	1	WICKED PREY		John Sandford**WICKED PREY
101	Elmore Leonard	0061733148	9780061733147	2009-05-16	1	0	13	ROAD DOGS		Elmore Leonard**ROAD DOGS
102	Charlaine Harris	0441017150	9780441017157	2009-05-16	2	1	3	DEAD AND GONE		Charlaine Harris**DEAD AND GONE
103	David Baldacci	044654695X	9780446546959	2009-05-16	4	4	5	FIRST FAMILY		David Baldacci**FIRST FAMILY
104	Debbie Macomber	0778326438	9780778326434	2009-05-16	3	7	12	SUMMER ON BLOSSOM STREET		Debbie Macomber**SUMMER ON BLOSSOM STREET
105	JR Ward	045122857X	9780451228574	2009-05-16	3	9	14	LOVER AVENGED		JR Ward**LOVER AVENGED
106	James Patterson and Maxine Paetro	0316018767	9780316018760	2009-05-16	3	2	4	THE 8TH CONFESSION		James Patterson and Maxine Paetro**THE 8TH CONFESSION
107	Douglas Preston and Lincoln Child	0446580295	9780446580298	2009-05-16	1	0	2	CEMETERY DANCE		Douglas Preston and Lincoln Child**CEMETERY DANCE
108	Robert B Parker	0399155716	9780399155710	2009-05-16	0	0	16	BRIMSTONE		Robert B Parker**BRIMSTONE
109	Stephenie Meyer	0316068047	9780316068048	2009-05-16	53	8	7	THE HOST		Stephenie Meyer**THE HOST
110	Colm Toibin	1439138311	9781439138311	2009-05-16	0	0	20	BROOKLYN		Colm Toibin**BROOKLYN
111	J R R Tolkien	0547273428	9780547273426	2009-05-16	0	0	19	THE LEGEND OF SIGURD AND GUDRUN		J R R Tolkien**THE LEGEND OF SIGURD AND GUDRUN
112	Wilbur Smith	0312567243	9780312567248	2009-05-16	1	0	9	ASSEGAI		Wilbur Smith**ASSEGAI
113	Chuck Palahniuk	0385526342	9780385526340	2009-05-16	2	3	6	PYGMY		Chuck Palahniuk**PYGMY
114	Reif Larsen	1594202176	9781594202179	2009-05-16	0	0	17	THE SELECTED WORKS OF T.S. SPIVET		Reif Larsen**THE SELECTED WORKS OF T.S. SPIVET
115	Mary Higgins Clark	1416570861	9781416570868	2009-05-16	6	6	11	JUST TAKE MY HEART		Mary Higgins Clark**JUST TAKE MY HEART
116	Kathryn Stockett	0399155341	9780399155345	2009-05-16	0	0	18	THE HELP		Kathryn Stockett**THE HELP
117	Alexander McCall Smith	0375424490	9780375424496	2009-05-16	4	5	8	TEA TIME FOR THE TRADITIONALLY BUILT		Alexander McCall Smith**TEA TIME FOR THE TRADITIONALLY BUILT
118	Stuart Woods	0399155783	9780399155789	2009-05-16	4	13	15	LOITERING WITH INTENT		Stuart Woods**LOITERING WITH INTENT
119	John Hart	0312359322	9780312359324	2009-05-16	1	0	10	THE LAST CHILD		John Hart**THE LAST CHILD
120	Julie Garwood	034550075X	9780345500755	2009-01-10	2	5	7	FIRE AND ICE		Julie Garwood**FIRE AND ICE
121	Stephen King	1439115303	9781439115305	2009-01-10	0	0	20	JUST AFTER SUNSET		Stephen King**JUST AFTER SUNSET
122	Glenn Beck with Kevin Balfe and Jason Wright	141659485X	9781416594857	2009-01-10	9	7	14	THE CHRISTMAS SWEATER		Glenn Beck with Kevin Balfe and Jason Wright**THE CHRISTMAS SWEATER
123	Wally Lamb	0060393491	9780060393496	2009-01-10	9	9	8	THE HOUR I FIRST BELIEVED		Wally Lamb**THE HOUR I FIRST BELIEVED
124	Mary Ann Shaffer and Annie Barrows	0385340990	9780385340991	2009-01-10	17	0	10	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY		Mary Ann Shaffer and Annie Barrows**THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY
125	W E B Griffin	0399155171	9780399155178	2009-01-10	2	1	3	BLACK OPS		W E B Griffin**BLACK OPS
126	James Patterson	0316018724	9780316018722	2009-01-10	8	4	6	CROSS COUNTRY		James Patterson**CROSS COUNTRY
127	Richard North Patterson	0805087729	9780805087727	2009-01-10	1	0	9	ECLIPSE		Richard North Patterson**ECLIPSE
128	Clive Cussler and Dirk Cussler	0399155295	9780399155291	2009-01-10	0	0	17	ARCTIC DRIFT		Clive Cussler and Dirk Cussler**ARCTIC DRIFT
129	Patricia Cornwell	0399155163	9780399155161	2009-01-10	6	2	4	SCARPETTA		Patricia Cornwell**SCARPETTA
130	Jayne Ann Krentz	039915521X	9780399155215	2009-01-10	2	8	12	RUNNING HOT		Jayne Ann Krentz**RUNNING HOT
131	Nicholas Sparks	0446579939	9780446579933	2009-01-10	15	10	16	THE LUCKY ONE		Nicholas Sparks**THE LUCKY ONE
132	Stephenie Meyer	0316068047	9780316068048	2009-01-10	35	3	2	THE HOST		Stephenie Meyer**THE HOST
133	Toni Morrison	0307264238	9780307264237	2009-01-10	9	14	13	A MERCY		Toni Morrison**A MERCY
134	Charlaine Harris	0441015891	9780441015894	2009-01-10	3	0	11	FROM DEAD TO WORSE		Charlaine Harris**FROM DEAD TO WORSE
135	Nelson DeMille	0446533424	9780446533423	2009-01-10	0	0	19	THE GATE HOUSE		Nelson DeMille**THE GATE HOUSE
136	David Baldacci	0446195502	9780446195508	2009-01-10	10	13	15	DIVINE JUSTICE		David Baldacci**DIVINE JUSTICE
137	Janet Evanovich	142720599X	9781427205995	2009-01-10	1	0	1	PLUM SPOOKY		Janet Evanovich**PLUM SPOOKY
138	David Wroblewski	0061374229	9780061374227	2009-01-10	31	6	5	THE STORY OF EDGAR SAWTELLE		David Wroblewski**THE STORY OF EDGAR SAWTELLE
139	Stieg Larsson	0307269752	9780307269751	2009-01-10	0	0	18	THE GIRL WITH THE DRAGON TATTOO		Stieg Larsson**THE GIRL WITH THE DRAGON TATTOO
140	Julie Garwood	034550075X	9780345500755	2009-01-17	3	7	9	FIRE AND ICE		Julie Garwood**FIRE AND ICE
141	Toni Morrison	0307264238	9780307264237	2009-01-17	10	13	15	A MERCY		Toni Morrison**A MERCY
142	Stieg Larsson	0307269752	9780307269751	2009-01-17	0	0	20	THE GIRL WITH THE DRAGON TATTOO		Stieg Larsson**THE GIRL WITH THE DRAGON TATTOO
143	Wally Lamb	0060393491	9780060393496	2009-01-17	10	8	10	THE HOUR I FIRST BELIEVED		Wally Lamb**THE HOUR I FIRST BELIEVED
144	Mary Ann Shaffer and Annie Barrows	0385340990	9780385340991	2009-01-17	18	10	8	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY		Mary Ann Shaffer and Annie Barrows**THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY
145	Janice Y K Lee	0670020486	9780670020485	2009-01-17	1	0	11	THE PIANO TEACHER		Janice Y K Lee**THE PIANO TEACHER
146	James Patterson	0316018724	9780316018722	2009-01-17	9	6	7	CROSS COUNTRY		James Patterson**CROSS COUNTRY
147	W E B Griffin	0399155171	9780399155178	2009-01-17	3	3	3	BLACK OPS		W E B Griffin**BLACK OPS
148	Patricia Cornwell	0399155163	9780399155161	2009-01-17	7	4	6	SCARPETTA		Patricia Cornwell**SCARPETTA
149	Jayne Ann Krentz	039915521X	9780399155215	2009-01-17	0	0	18	RUNNING HOT		Jayne Ann Krentz**RUNNING HOT
150	Nicholas Sparks	0446579939	9780446579933	2009-01-17	0	0	16	THE LUCKY ONE		Nicholas Sparks**THE LUCKY ONE
151	Clive Cussler and Dirk Cussler	0399155295	9780399155291	2009-01-17	0	0	19	ARCTIC DRIFT		Clive Cussler and Dirk Cussler**ARCTIC DRIFT
152	Richard North Patterson	0805087729	9780805087727	2009-01-17	2	9	13	ECLIPSE		Richard North Patterson**ECLIPSE
153	Stuart Woods	0399155473	9780399155475	2009-01-17	1	0	4	MOUNTING FEARS		Stuart Woods**MOUNTING FEARS
154	Charlaine Harris	0441015891	9780441015894	2009-01-17	4	11	12	FROM DEAD TO WORSE		Charlaine Harris**FROM DEAD TO WORSE
155	Stephenie Meyer	0316068047	9780316068048	2009-01-17	36	2	2	THE HOST		Stephenie Meyer**THE HOST
156	David Baldacci	0446195502	9780446195508	2009-01-17	0	0	17	DIVINE JUSTICE		David Baldacci**DIVINE JUSTICE
157	David Wroblewski	0061374229	9780061374227	2009-01-17	32	5	5	THE STORY OF EDGAR SAWTELLE		David Wroblewski**THE STORY OF EDGAR SAWTELLE
158	Janet Evanovich	142720599X	9781427205995	2009-01-17	2	1	1	PLUM SPOOKY		Janet Evanovich**PLUM SPOOKY
159	Josh Bazell	0316032220	9780316032223	2009-01-17	1	0	14	BEAT THE REAPER		Josh Bazell**BEAT THE REAPER
160	Karen Robards	0399156275	9780399156274	2010-04-04	2	9	14	SHATTERED		Karen Robards**SHATTERED
161	Sarah Blake	0399156194	9780399156199	2010-04-04	0	0	20	THE POSTMISTRESS		Sarah Blake**THE POSTMISTRESS
162	Jonathan Kellerman	0345505670	9780345505675	2010-04-04	1	0	4	DECEPTION		Jonathan Kellerman**DECEPTION
163	Aaron Allston	0345509080	9780345509086	2010-04-04	0	0	19	BACKLASH		Aaron Allston**BACKLASH
164	Cathleen Schine	0374299048	9780374299040	2010-04-04	0	0	17	THE THREE WEISSMANNS OF WESTPORT		Cathleen Schine**THE THREE WEISSMANNS OF WESTPORT
165	Clive Cussler and Jack Du Brul	0399156259	9780399156250	2010-04-04	4	4	7	THE SILENT SEA		Clive Cussler and Jack Du Brul**THE SILENT SEA
166	Christopher Moore	0061779725	9780061779725	2010-04-04	2	5	9	BITE ME		Christopher Moore**BITE ME
167	Harlan Coben	052595158X	9780525951582	2010-04-04	2	1	3	CAUGHT		Harlan Coben**CAUGHT
168	Helen Simonson	1400068932	9781400068937	2010-04-04	0	0	18	MAJOR PETTIGREW’S LAST STAND		Helen Simonson**MAJOR PETTIGREW’S LAST STAND
169	Kathryn Stockett	0399155341	9780399155345	2010-04-04	53	2	2	THE HELP		Kathryn Stockett**THE HELP
170	James Patterson and Michael Ledwidge	0316036226	9780316036221	2010-04-04	0	0	16	WORST CASE		James Patterson and Michael Ledwidge**WORST CASE
171	Ian McEwan	0385533411	9780385533416	2010-04-04	1	0	6	SOLAR		Ian McEwan**SOLAR
172	Lisa Scottoline	0312380755	9780312380755	2010-04-04	3	8	12	THINK TWICE		Lisa Scottoline**THINK TWICE
173	Seth Grahame-Smith	0446563080	9780446563086	2010-04-04	5	6	8	ABRAHAM LINCOLN: VAMPIRE HUNTER		Seth Grahame-Smith**ABRAHAM LINCOLN: VAMPIRE HUNTER
174	Karl Marlantes	080211928X	9780802119285	2010-04-04	2	7	10	MATTERHORN		Karl Marlantes**MATTERHORN
175	Danielle Trussoni	0670021474	9780670021475	2010-04-04	4	10	15	ANGELOLOGY		Danielle Trussoni**ANGELOLOGY
176	Dan Brown	0385504225	9780385504225	2010-04-04	29	14	13	THE LOST SYMBOL		Dan Brown**THE LOST SYMBOL
177	Patricia Briggs	044101819X	9780441018192	2010-04-04	1	0	1	SILVER BORNE		Patricia Briggs**SILVER BORNE
178	Jodi Picoult	0743296435	9780743296434	2010-04-04	5	3	5	HOUSE RULES		Jodi Picoult**HOUSE RULES
179	Lisa Jackson	0758225644	9780758225641	2010-04-04	1	0	11	WITHOUT MERCY		Lisa Jackson**WITHOUT MERCY
180	John Sandford	0399155279	9780399155277	2008-10-04	2	2	4	HEAT LIGHTNING		John Sandford**HEAT LIGHTNING
181	Philippa Gregory	1416549129	9781416549123	2008-10-04	3	6	6	THE OTHER QUEEN		Philippa Gregory**THE OTHER QUEEN
182	Debbie Macomber	0778325911	9780778325918	2008-10-04	1	0	7	A CEDAR COVE CHRISTMAS		Debbie Macomber**A CEDAR COVE CHRISTMAS
183	Brad Meltzer	044657788X	9780446577885	2008-10-04	5	11	16	THE BOOK OF LIES		Brad Meltzer**THE BOOK OF LIES
184	Stieg Larsson	0307269752	9780307269751	2008-10-04	3	7	10	THE GIRL WITH THE DRAGON TATTOO		Stieg Larsson**THE GIRL WITH THE DRAGON TATTOO
185	Stephen Hunter	1416565116	9781416565116	2008-10-04	0	0	17	NIGHT OF THUNDER		Stephen Hunter**NIGHT OF THUNDER
186	Mary Ann Shaffer and Annie Barrows	0385340990	9780385340991	2008-10-04	10	9	12	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY		Mary Ann Shaffer and Annie Barrows**THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY
187	Dennis Lehane	0688163181	9780688163181	2008-10-04	2	3	9	THE GIVEN DAY		Dennis Lehane**THE GIVEN DAY
188	Neal Stephenson	0061474096	9780061474095	2008-10-04	4	15	13	ANATHEM		Neal Stephenson**ANATHEM
189	Alexander McCall Smith	0375425136	9780375425134	2008-10-04	0	0	20	THE COMFORTS OF A MUDDY SATURDAY		Alexander McCall Smith**THE COMFORTS OF A MUDDY SATURDAY
190	Philip Roth	054705484X	9780547054841	2008-10-04	0	0	19	INDIGNATION		Philip Roth**INDIGNATION
191	Nicholas Sparks	0446579939	9780446579933	2008-10-04	1	0	1	THE LUCKY ONE		Nicholas Sparks**THE LUCKY ONE
192	Stephenie Meyer	0316068047	9780316068048	2008-10-04	22	10	11	THE HOST		Stephenie Meyer**THE HOST
193	Ted Bell	1416550402	9781416550402	2008-10-04	2	8	5	TSAR		Ted Bell**TSAR
194	Curtis Sittenfeld	1400064759	9781400064755	2008-10-04	5	12	15	AMERICAN WIFE		Curtis Sittenfeld**AMERICAN WIFE
195	David Wroblewski	0061374229	9780061374227	2008-10-04	17	1	2	THE STORY OF EDGAR SAWTELLE		David Wroblewski**THE STORY OF EDGAR SAWTELLE
196	Candace Bushnell	1401301614	9781401301613	2008-10-04	2	5	3	ONE FIFTH AVENUE		Candace Bushnell**ONE FIFTH AVENUE
197	Karen Marie Moning	0385341636	9780385341639	2008-10-04	3	13	14	FAEFEVER		Karen Marie Moning**FAEFEVER
198	Stuart Woods	0399155155	9780399155154	2008-10-04	2	4	8	HOT MAHOGANY		Stuart Woods**HOT MAHOGANY
199	Brian Herbert and Kevin J Anderson	0765312948	9780765312945	2008-10-04	0	0	18	PAUL OF DUNE		Brian Herbert and Kevin J Anderson**PAUL OF DUNE
200	Emily Giffin	0312348673	9780312348670	2008-07-26	11	13	15	LOVE THE ONE YOU'RE WITH		Emily Giffin**LOVE THE ONE YOU'RE WITH
