	author	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title	asin	author_title
4036	Marilynne Robinson	0312428545	9780312428549	2009-09-19	3	8	12	HOME		Marilynne Robinson**HOME
4037	David Wroblewski	0061374237	9780061374234	2009-09-19	2	11	7	THE STORY OF EDGAR SAWTELLE		David Wroblewski**THE STORY OF EDGAR SAWTELLE
4038	Sapphire	0679766758	9780679766759	2009-09-19	4	19	10	PUSH		Sapphire**PUSH
4039	Jane Austen and Seth Grahame-Smith	1594743347	9781594743344	2009-09-19	25	10	13	PRIDE AND PREJUDICE AND ZOMBIES		Jane Austen and Seth Grahame-Smith**PRIDE AND PREJUDICE AND ZOMBIES
4040	Nora Roberts	0425233685	9780425233689	2010-05-02	1	0	1	SAVOR THE MOMENT		Nora Roberts**SAVOR THE MOMENT
4041	Stieg Larsson	030745455X	9780307454553	2010-05-02	6	2	3	THE GIRL WHO PLAYED WITH FIRE		Stieg Larsson**THE GIRL WHO PLAYED WITH FIRE
4042	Stieg Larsson	0307454541	9780307454546	2010-05-02	45	1	2	THE GIRL WITH THE DRAGON TATTOO		Stieg Larsson**THE GIRL WITH THE DRAGON TATTOO
4043	Paulo Coelho	0061122416	9780061122415	2010-05-02	127	0	15	THE ALCHEMIST		Paulo Coelho**THE ALCHEMIST
4044	James Patterson and Richard DiLallo	0446561800	9780446561808	2010-05-02	4	6	7	ALEX CROSS’S ‘TRIAL’		James Patterson and Richard DiLallo**ALEX CROSS’S ‘TRIAL’
4045	Chris Cleave	1416589643	9781416589648	2010-05-02	11	3	4	LITTLE BEE		Chris Cleave**LITTLE BEE
4046	Robert Goolrick	1565129776	9781565129771	2010-05-02	17	7	6	A RELIABLE WIFE		Robert Goolrick**A RELIABLE WIFE
4047	Paul Harding	193413712X	9781934137123	2010-05-02	2	8	19	TINKERS		Paul Harding**TINKERS
4048	Elizabeth Strout	0812971833	9780812971835	2010-05-02	54	19	18	OLIVE KITTERIDGE		Elizabeth Strout**OLIVE KITTERIDGE
4049	Philippa Gregory	1416563695	9781416563693	2010-05-02	4	18	20	THE WHITE QUEEN		Philippa Gregory**THE WHITE QUEEN
4050	Abraham Verghese	0375714367	9780375714368	2010-05-02	14	10	9	CUTTING FOR STONE		Abraham Verghese**CUTTING FOR STONE
4051	Stephenie Meyer	0316068055	9780316068055	2010-05-02	3	5	5	THE HOST		Stephenie Meyer**THE HOST
4052	Lisa Scottoline	0312380739	9780312380731	2010-05-02	12	12	14	LOOK AGAIN		Lisa Scottoline**LOOK AGAIN
4053	William P Young	0964729237	9780964729230	2010-05-02	102	13	11	THE SHACK		William P Young**THE SHACK
4054	Tatiana de Rosnay	0312370849	9780312370848	2010-05-02	64	9	8	SARAH’S KEY		Tatiana de Rosnay**SARAH’S KEY
4055	Garth Stein	0061537969	9780061537967	2010-05-02	47	14	13	THE ART OF RACING IN THE RAIN		Garth Stein**THE ART OF RACING IN THE RAIN
4056	Nicholas Sparks	0446547557	9780446547550	2010-05-02	14	4	10	THE LAST SONG		Nicholas Sparks**THE LAST SONG
4057	James Patterson and Maxine Paetro	0446561339	9780446561334	2010-05-02	10	15	16	THE 8TH CONFESSION		James Patterson and Maxine Paetro**THE 8TH CONFESSION
4058	John Hart	0312642369	9780312642365	2010-05-02	8	16	17	THE LAST CHILD		John Hart**THE LAST CHILD
4059	Kate Morton	1416550550	9781416550556	2010-05-02	11	11	12	THE FORGOTTEN GARDEN		Kate Morton**THE FORGOTTEN GARDEN
4060	Nora Roberts	0425230074	9780425230077	2009-12-27	9	14	14	BED OF ROSES		Nora Roberts**BED OF ROSES
4061	Jodi Picoult	0743296427	9780743296427	2009-12-27	13	19	15	HANDLE WITH CARE		Jodi Picoult**HANDLE WITH CARE
4062	The Harvard Lampoon	0307476103	9780307476104	2009-12-27	1	0	18	NIGHTLIGHT		The Harvard Lampoon**NIGHTLIGHT
4063	Jane Austen and Seth Grahame-Smith	1594743347	9781594743344	2009-12-27	39	10	8	PRIDE AND PREJUDICE AND ZOMBIES		Jane Austen and Seth Grahame-Smith**PRIDE AND PREJUDICE AND ZOMBIES
4064	Uwem Akpan	0316086371	9780316086370	2009-12-27	15	18	20	SAY YOU'RE ONE OF THEM		Uwem Akpan**SAY YOU'RE ONE OF THEM
4065	Mary Ann Shaffer and Annie Barrows	0385341008	9780385341004	2009-12-27	34	5	10	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY		Mary Ann Shaffer and Annie Barrows**THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY
4066	Janice Y K Lee	0143116533	9780143116530	2009-12-27	6	4	6	THE PIANO TEACHER		Janice Y K Lee**THE PIANO TEACHER
4067	Nicholas Sparks	0446567329	9780446567329	2009-12-27	16	17	16	DEAR JOHN		Nicholas Sparks**DEAR JOHN
4068	Tatiana de Rosnay	0312370849	9780312370848	2009-12-27	46	13	17	SARAH’S KEY		Tatiana de Rosnay**SARAH’S KEY
4069	Elizabeth Strout	0812971833	9780812971835	2009-12-27	36	8	9	OLIVE KITTERIDGE		Elizabeth Strout**OLIVE KITTERIDGE
4070	Alice Sebold	0316168815	9780316168816	2009-12-27	15	7	4	THE LOVELY BONES		Alice Sebold**THE LOVELY BONES
4071	Paulo Coelho	0061122416	9780061122415	2009-12-27	119	16	12	THE ALCHEMIST		Paulo Coelho**THE ALCHEMIST
4072	Audrey Niffenegger	015602943X	9780156029438	2009-12-27	28	9	7	THE TIME TRAVELER'S WIFE		Audrey Niffenegger**THE TIME TRAVELER'S WIFE
4073	William P Young	0964729237	9780964729230	2009-12-27	84	1	1	THE SHACK		William P Young**THE SHACK
4074	Garth Stein	0061537969	9780061537967	2009-12-27	29	6	5	THE ART OF RACING IN THE RAIN		Garth Stein**THE ART OF RACING IN THE RAIN
4075	Colum McCann	0812973992	9780812973990	2009-12-27	4	12	13	LET THE GREAT WORLD SPIN		Colum McCann**LET THE GREAT WORLD SPIN
4076	Muriel Barbery	1933372605	9781933372600	2009-12-27	50	15	19	THE ELEGANCE OF THE HEDGEHOG		Muriel Barbery**THE ELEGANCE OF THE HEDGEHOG
4077	Sapphire	0679766758	9780679766759	2009-12-27	18	3	2	PUSH		Sapphire**PUSH
4078	Stieg Larsson	0307454541	9780307454546	2009-12-27	27	2	3	THE GIRL WITH THE DRAGON TATTOO		Stieg Larsson**THE GIRL WITH THE DRAGON TATTOO
4079	Cormac McCarthy	0307476308	9780307476302	2009-12-27	73	11	11	THE ROAD		Cormac McCarthy**THE ROAD
4080	Nora Roberts	0425230074	9780425230077	2010-01-03	10	14	14	BED OF ROSES		Nora Roberts**BED OF ROSES
4081	Uwem Akpan	0316086371	9780316086370	2010-01-03	16	20	19	SAY YOU'RE ONE OF THEM		Uwem Akpan**SAY YOU'RE ONE OF THEM
4082	The Harvard Lampoon	0307476103	9780307476104	2010-01-03	2	18	17	NIGHTLIGHT		The Harvard Lampoon**NIGHTLIGHT
4083	Jane Austen and Seth Grahame-Smith	1594743347	9781594743344	2010-01-03	40	8	13	PRIDE AND PREJUDICE AND ZOMBIES		Jane Austen and Seth Grahame-Smith**PRIDE AND PREJUDICE AND ZOMBIES
4084	Cormac McCarthy	0307476308	9780307476302	2010-01-03	74	11	18	THE ROAD		Cormac McCarthy**THE ROAD
4085	Mary Ann Shaffer and Annie Barrows	0385341008	9780385341004	2010-01-03	35	10	12	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY		Mary Ann Shaffer and Annie Barrows**THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY
4086	Janice Y K Lee	0143116533	9780143116530	2010-01-03	7	6	4	THE PIANO TEACHER		Janice Y K Lee**THE PIANO TEACHER
4087	Nicholas Sparks	0446567329	9780446567329	2010-01-03	17	16	6	DEAR JOHN		Nicholas Sparks**DEAR JOHN
4088	Tatiana de Rosnay	0312370849	9780312370848	2010-01-03	47	17	11	SARAH’S KEY		Tatiana de Rosnay**SARAH’S KEY
4089	Elizabeth Strout	0812971833	9780812971835	2010-01-03	37	9	7	OLIVE KITTERIDGE		Elizabeth Strout**OLIVE KITTERIDGE
4090	Alice Sebold	0316168815	9780316168816	2010-01-03	16	4	1	THE LOVELY BONES		Alice Sebold**THE LOVELY BONES
4091	Paulo Coelho	0061122416	9780061122415	2010-01-03	120	12	16	THE ALCHEMIST		Paulo Coelho**THE ALCHEMIST
4092	Audrey Niffenegger	015602943X	9780156029438	2010-01-03	29	7	8	THE TIME TRAVELER'S WIFE		Audrey Niffenegger**THE TIME TRAVELER'S WIFE
4093	William P Young	0964729237	9780964729230	2010-01-03	85	1	5	THE SHACK		William P Young**THE SHACK
4094	Garth Stein	0061537969	9780061537967	2010-01-03	30	5	9	THE ART OF RACING IN THE RAIN		Garth Stein**THE ART OF RACING IN THE RAIN
4095	Colum McCann	0812973992	9780812973990	2010-01-03	5	13	10	LET THE GREAT WORLD SPIN		Colum McCann**LET THE GREAT WORLD SPIN
4096	Muriel Barbery	1933372605	9781933372600	2010-01-03	51	19	15	THE ELEGANCE OF THE HEDGEHOG		Muriel Barbery**THE ELEGANCE OF THE HEDGEHOG
4097	David Wroblewski	0061374237	9780061374234	2010-01-03	15	0	20	THE STORY OF EDGAR SAWTELLE		David Wroblewski**THE STORY OF EDGAR SAWTELLE
4098	Sapphire	0679766758	9780679766759	2010-01-03	19	2	3	PUSH		Sapphire**PUSH
4099	Stieg Larsson	0307454541	9780307454546	2010-01-03	28	3	2	THE GIRL WITH THE DRAGON TATTOO		Stieg Larsson**THE GIRL WITH THE DRAGON TATTOO
4100	Nora Roberts	0425230074	9780425230077	2009-12-19	8	11	14	BED OF ROSES		Nora Roberts**BED OF ROSES
4101	Uwem Akpan	0316113956	9780316113953	2009-12-19	14	13	18	SAY YOU'RE ONE OF THEM		Uwem Akpan**SAY YOU'RE ONE OF THEM
4102	Jane Austen and Seth Grahame-Smith	1594743347	9781594743344	2009-12-19	38	16	10	PRIDE AND PREJUDICE AND ZOMBIES		Jane Austen and Seth Grahame-Smith**PRIDE AND PREJUDICE AND ZOMBIES
4103	Jodi Picoult	0743296427	9780743296427	2009-12-19	12	18	19	HANDLE WITH CARE		Jodi Picoult**HANDLE WITH CARE
4104	Mary Ann Shaffer and Annie Barrows	0385341008	9780385341004	2009-12-19	33	6	5	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY		Mary Ann Shaffer and Annie Barrows**THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY
4105	Janice Y K Lee	0670020486	9780670020485	2009-12-19	5	4	4	THE PIANO TEACHER		Janice Y K Lee**THE PIANO TEACHER
4106	Nicholas Sparks	0446698326	9780446698320	2009-12-19	15	20	17	DEAR JOHN		Nicholas Sparks**DEAR JOHN
4107	Tatiana de Rosnay	0312370849	9780312370848	2009-12-19	45	14	13	SARAH’S KEY		Tatiana de Rosnay**SARAH’S KEY
4108	Elizabeth Strout	140006208X	9781400062089	2009-12-19	35	7	8	OLIVE KITTERIDGE		Elizabeth Strout**OLIVE KITTERIDGE
4109	Alice Sebold	0316168815	9780316168816	2009-12-19	14	10	7	THE LOVELY BONES		Alice Sebold**THE LOVELY BONES
4110	Paulo Coelho	0061122416	9780061122415	2009-12-19	118	17	16	THE ALCHEMIST		Paulo Coelho**THE ALCHEMIST
4111	Audrey Niffenegger	015602943X	9780156029438	2009-12-19	27	9	9	THE TIME TRAVELER'S WIFE		Audrey Niffenegger**THE TIME TRAVELER'S WIFE
4112	William P Young	0964729237	9780964729230	2009-12-19	83	3	1	THE SHACK		William P Young**THE SHACK
4113	Cormac McCarthy	0307387895	9780307387899	2009-12-19	72	8	11	THE ROAD		Cormac McCarthy**THE ROAD
4114	Garth Stein	0061537969	9780061537967	2009-12-19	28	5	6	THE ART OF RACING IN THE RAIN		Garth Stein**THE ART OF RACING IN THE RAIN
4115	Colum McCann	0812973992	9780812973990	2009-12-19	3	12	12	LET THE GREAT WORLD SPIN		Colum McCann**LET THE GREAT WORLD SPIN
4116	Muriel Barbery	1933372605	9781933372600	2009-12-19	49	15	15	THE ELEGANCE OF THE HEDGEHOG		Muriel Barbery**THE ELEGANCE OF THE HEDGEHOG
4117	David Wroblewski	0061374237	9780061374234	2009-12-19	14	19	20	THE STORY OF EDGAR SAWTELLE		David Wroblewski**THE STORY OF EDGAR SAWTELLE
4118	Sapphire	0679766758	9780679766759	2009-12-19	17	2	3	PUSH		Sapphire**PUSH
4119	Stieg Larsson	0307473473	9780307473479	2009-12-19	26	1	2	THE GIRL WITH THE DRAGON TATTOO		Stieg Larsson**THE GIRL WITH THE DRAGON TATTOO
4120	John Grisham	0553386816	9780553386813	2010-08-22	1	0	5	FORD COUNTY		John Grisham**FORD COUNTY
4121	Barbara Kingsolver	0060852585	9780060852580	2010-08-22	5	4	6	THE LACUNA		Barbara Kingsolver**THE LACUNA
4122	Stieg Larsson	030745455X	9780307454553	2010-08-22	22	2	2	THE GIRL WHO PLAYED WITH FIRE		Stieg Larsson**THE GIRL WHO PLAYED WITH FIRE
4123	Jamie Ford	0345505344	9780345505347	2010-08-22	16	0	18	HOTEL ON THE CORNER OF BITTER AND SWEET		Jamie Ford**HOTEL ON THE CORNER OF BITTER AND SWEET
4124	Stieg Larsson	0307454541	9780307454546	2010-08-22	61	1	1	THE GIRL WITH THE DRAGON TATTOO		Stieg Larsson**THE GIRL WITH THE DRAGON TATTOO
4125	Paulo Coelho	0061122416	9780061122415	2010-08-22	142	10	9	THE ALCHEMIST		Paulo Coelho**THE ALCHEMIST
4126	Chris Cleave	1416589643	9781416589648	2010-08-22	27	3	3	LITTLE BEE		Chris Cleave**LITTLE BEE
4127	Abraham Verghese	0375714367	9780375714368	2010-08-22	30	5	4	CUTTING FOR STONE		Abraham Verghese**CUTTING FOR STONE
4128	Paul Harding	193413712X	9781934137123	2010-08-22	17	20	20	TINKERS		Paul Harding**TINKERS
4129	Robert Goolrick	1565129776	9781565129771	2010-08-22	32	16	14	A RELIABLE WIFE		Robert Goolrick**A RELIABLE WIFE
4130	Stephen King	1439149038	9781439149034	2010-08-22	7	6	8	UNDER THE DOME, PART 1		Stephen King**UNDER THE DOME, PART 1
4131	Tatiana de Rosnay	0312370849	9780312370848	2010-08-22	80	11	12	SARAH’S KEY		Tatiana de Rosnay**SARAH’S KEY
4132	Audrey Niffenegger	1439169012	9781439169018	2010-08-22	7	0	19	HER FEARFUL SYMMETRY		Audrey Niffenegger**HER FEARFUL SYMMETRY
4133	Sara Gruen	1565125606	9781565125605	2010-08-22	91	14	13	WATER FOR ELEPHANTS		Sara Gruen**WATER FOR ELEPHANTS
4134	Garth Stein	0061537969	9780061537967	2010-08-22	63	7	7	THE ART OF RACING IN THE RAIN		Garth Stein**THE ART OF RACING IN THE RAIN
4135	Colum McCann	0812973992	9780812973990	2010-08-22	24	19	17	LET THE GREAT WORLD SPIN		Colum McCann**LET THE GREAT WORLD SPIN
4136	Jennifer Weiner	0743294300	9780743294300	2010-08-22	16	9	10	BEST FRIENDS FOREVER		Jennifer Weiner**BEST FRIENDS FOREVER
4137	William P Young	0964729237	9780964729230	2010-08-22	113	12	15	THE SHACK		William P Young**THE SHACK
4138	Pat Conroy	0385344074	9780385344074	2010-08-22	13	0	16	SOUTH OF BROAD		Pat Conroy**SOUTH OF BROAD
4139	David Nicholls	0307474712	9780307474711	2010-08-22	9	8	11	ONE DAY		David Nicholls**ONE DAY
4140	Nora Roberts	0425230074	9780425230077	2009-11-21	4	2	2	BED OF ROSES		Nora Roberts**BED OF ROSES
4141	Uwem Akpan	0316113956	9780316113953	2009-11-21	10	3	6	SAY YOU'RE ONE OF THEM		Uwem Akpan**SAY YOU'RE ONE OF THEM
4142	James Patterson and Michael Ledwidge	044656267X	9780446562676	2009-11-21	5	15	18	RUN FOR YOUR LIFE		James Patterson and Michael Ledwidge**RUN FOR YOUR LIFE
4143	Stieg Larsson	0307473473	9780307473479	2009-11-21	22	5	4	THE GIRL WITH THE DRAGON TATTOO		Stieg Larsson**THE GIRL WITH THE DRAGON TATTOO
4144	Mary Ann Shaffer and Annie Barrows	0385341008	9780385341004	2009-11-21	29	7	8	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY		Mary Ann Shaffer and Annie Barrows**THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY
4145	Janice Y K Lee	0670020486	9780670020485	2009-11-21	1	0	9	THE PIANO TEACHER		Janice Y K Lee**THE PIANO TEACHER
4146	Jane Austen and Seth Grahame-Smith	1594743347	9781594743344	2009-11-21	34	19	20	PRIDE AND PREJUDICE AND ZOMBIES		Jane Austen and Seth Grahame-Smith**PRIDE AND PREJUDICE AND ZOMBIES
4147	Tatiana de Rosnay	0312370849	9780312370848	2009-11-21	41	11	12	SARAH’S KEY		Tatiana de Rosnay**SARAH’S KEY
4148	Nelson DeMille	0446564230	9780446564236	2009-11-21	2	16	17	THE GATE HOUSE		Nelson DeMille**THE GATE HOUSE
4149	Elizabeth Strout	140006208X	9781400062089	2009-11-21	31	6	5	OLIVE KITTERIDGE		Elizabeth Strout**OLIVE KITTERIDGE
4150	Muriel Barbery	1933372605	9781933372600	2009-11-21	45	12	13	THE ELEGANCE OF THE HEDGEHOG		Muriel Barbery**THE ELEGANCE OF THE HEDGEHOG
4151	Audrey Niffenegger	015602943X	9780156029438	2009-11-21	23	9	11	THE TIME TRAVELER'S WIFE		Audrey Niffenegger**THE TIME TRAVELER'S WIFE
4152	Paulo Coelho	0061122416	9780061122415	2009-11-21	114	17	16	THE ALCHEMIST		Paulo Coelho**THE ALCHEMIST
4153	William P Young	0964729237	9780964729230	2009-11-21	79	4	3	THE SHACK		William P Young**THE SHACK
4154	Garth Stein	0061537969	9780061537967	2009-11-21	24	8	7	THE ART OF RACING IN THE RAIN		Garth Stein**THE ART OF RACING IN THE RAIN
4155	Dennis Lehane	0380731878	9780380731879	2009-11-21	3	18	19	THE GIVEN DAY		Dennis Lehane**THE GIVEN DAY
4156	Sapphire	0679766758	9780679766759	2009-11-21	13	1	1	PUSH		Sapphire**PUSH
4157	David Wroblewski	0061374237	9780061374234	2009-11-21	11	14	15	THE STORY OF EDGAR SAWTELLE		David Wroblewski**THE STORY OF EDGAR SAWTELLE
4158	P D James	0307455289	9780307455284	2009-11-21	3	13	14	THE PRIVATE PATIENT		P D James**THE PRIVATE PATIENT
4159	Cormac McCarthy	0307387895	9780307387899	2009-11-21	68	10	10	THE ROAD		Cormac McCarthy**THE ROAD
4160	Jonathan Tropper	0452296366	9780452296367	2010-07-18	1	0	18	THIS IS WHERE I LEAVE YOU		Jonathan Tropper**THIS IS WHERE I LEAVE YOU
4161	Stieg Larsson	030745455X	9780307454553	2010-07-18	17	2	2	THE GIRL WHO PLAYED WITH FIRE		Stieg Larsson**THE GIRL WHO PLAYED WITH FIRE
4162	Stieg Larsson	0307454541	9780307454546	2010-07-18	56	1	1	THE GIRL WITH THE DRAGON TATTOO		Stieg Larsson**THE GIRL WITH THE DRAGON TATTOO
4163	Paulo Coelho	0061122416	9780061122415	2010-07-18	137	16	11	THE ALCHEMIST		Paulo Coelho**THE ALCHEMIST
4164	Chris Cleave	1416589643	9781416589648	2010-07-18	22	3	3	LITTLE BEE		Chris Cleave**LITTLE BEE
4165	Abraham Verghese	0375714367	9780375714368	2010-07-18	25	7	7	CUTTING FOR STONE		Abraham Verghese**CUTTING FOR STONE
4166	Paul Harding	193413712X	9781934137123	2010-07-18	13	15	20	TINKERS		Paul Harding**TINKERS
4167	Elizabeth Strout	0812971833	9780812971835	2010-07-18	56	19	16	OLIVE KITTERIDGE		Elizabeth Strout**OLIVE KITTERIDGE
4168	James Patterson and Maxine Paetro	0446561363	9780446561365	2010-07-18	5	5	8	SWIMSUIT		James Patterson and Maxine Paetro**SWIMSUIT
4169	Stephen King	1439149038	9781439149034	2010-07-18	2	4	4	UNDER THE DOME, PART 1		Stephen King**UNDER THE DOME, PART 1
4170	Tatiana de Rosnay	0312370849	9780312370848	2010-07-18	75	11	10	SARAH’S KEY		Tatiana de Rosnay**SARAH’S KEY
4171	Mary Ann Shaffer and Annie Barrows	0385341008	9780385341004	2010-07-18	50	20	17	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY		Mary Ann Shaffer and Annie Barrows**THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY
4172	Jennifer Weiner	0743294300	9780743294300	2010-07-18	11	6	6	BEST FRIENDS FOREVER		Jennifer Weiner**BEST FRIENDS FOREVER
4173	David Nicholls	0307474712	9780307474711	2010-07-18	4	8	5	ONE DAY		David Nicholls**ONE DAY
4174	Garth Stein	0061537969	9780061537967	2010-07-18	58	9	9	THE ART OF RACING IN THE RAIN		Garth Stein**THE ART OF RACING IN THE RAIN
4175	Colum McCann	0812973992	9780812973990	2010-07-18	20	18	19	LET THE GREAT WORLD SPIN		Colum McCann**LET THE GREAT WORLD SPIN
4176	Audrey Niffenegger	1439169012	9781439169018	2010-07-18	3	14	14	HER FEARFUL SYMMETRY		Audrey Niffenegger**HER FEARFUL SYMMETRY
4177	Pat Conroy	0385344074	9780385344074	2010-07-18	11	13	15	SOUTH OF BROAD		Pat Conroy**SOUTH OF BROAD
