	asin	author	author_title	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title
3975		 Nora Roberts.	 Nora Roberts.**HIGH NOON		9781405618861	2007-07-15	1	0	2	HIGH NOON
3976		 Lisa See.	 Lisa See.**PEONY IN LOVE		9780747592730	2007-07-15	3	6	10	PEONY IN LOVE
3977		 Janet Evanovich.	 Janet Evanovich.**LEAN MEAN THIRTEEN		9780755337576	2007-07-15	4	3	4	LEAN MEAN THIRTEEN
3978		 Catherine Coulter.	 Catherine Coulter.**DOUBLE TAKE		9781597108485	2007-07-15	9	5	9	DOUBLE TAKE
3979		 Ridley Pearson.	 Ridley Pearson.**KILLER WEEKEND		9780399154072	2007-07-15	1	0	12	KILLER WEEKEND
3980		 Jackie Collins.	 Jackie Collins.**DROP DEAD BEAUTIFUL		9781429917209	2007-07-15	3	7	7	DROP DEAD BEAUTIFUL
3981		 Khaled Hosseini.	 Khaled Hosseini.**A THOUSAND SPLENDID SUNS		9781594483851	2007-07-15	8	2	3	A THOUSAND SPLENDID SUNS
3982		 Clive Cussler with Paul Kemprecos.	 Clive Cussler with Paul Kemprecos.**THE NAVIGATOR		9780143143420	2007-07-15	6	13	13	THE NAVIGATOR
3983		 Richard Bachman.	 Richard Bachman.**BLAZE		9781602850613	2007-07-15	5	12	14	BLAZE
3984		 Eric Van Lustbader.	 Eric Van Lustbader.**THE BOURNE BETRAYAL		9789532401134	2007-07-15	6	10	8	THE BOURNE BETRAYAL
3985		 W. E. B. Griffin and William E. Butterworth IV.	 W. E. B. Griffin and William E. Butterworth IV.**THE DOUBLE AGENTS		9781456101855	2007-07-15	3	11	15	THE DOUBLE AGENTS
3986		 James Patterson and Maxine Paetro.	 James Patterson and Maxine Paetro.**THE 6TH TARGET		9780755330362	2007-07-15	10	9	11	THE 6TH TARGET
3987		 Danielle Steel.	 Danielle Steel.**BUNGALOW 2		9782266201698	2007-07-15	3	5	5	BUNGALOW 2
3988		 James Rollins.	 James Rollins.**THE JUDAS STRAIN		9785699512287	2007-07-15	2	4	6	THE JUDAS STRAIN
3989		 Richard Bach.	 Richard Bach.**ILLUSIONS		9780434041015	1977-06-05	1	0	9	ILLUSIONS
3990		 Erich Segal.	 Erich Segal.**OLIVER'S STORY		9788022008969	1977-06-05	15	3	3	OLIVER'S STORY
3991		 Joan Didion.	 Joan Didion.**A BOOK OF COMMON PRAYER		9780671817855	1977-06-05	9	8	8	A BOOK OF COMMON PRAYER
3992		 Erica Jong.	 Erica Jong.**HOW TO SAVE YOUR OWN LIFE		9780436224454	1977-06-05	12	9	10	HOW TO SAVE YOUR OWN LIFE
3993		 Robert Ludlum.	 Robert Ludlum.**THE CHANCELLOR MANUSCRIPT		9780553208795	1977-06-05	7	13	7	THE CHANCELLOR MANUSCRIPT
3994		 John Cheever.	 John Cheever.**FALCONER		9780143566359	1977-06-05	12	1	2	FALCONER
3995		 John D. MacDonald.	 John D. MacDonald.**CONDOMINIUM		9781306190404	1977-06-05	9	5	5	CONDOMINIUM
3996		 Paul E. Erdman.	 Paul E. Erdman.**THE CRASH OF '79		9780425109885	1977-06-05	27	4	4	THE CRASH OF '79
3997		 Colleen McCullough.	 Colleen McCullough.**THE THORN BIRDS		9785170049813	1977-06-05	5	2	1	THE THORN BIRDS
3998		 Leon Uris.	 Leon Uris.**TRINITY		9780553258462	1977-06-05	65	6	6	TRINITY
3999		 Elizabeth George.	 Elizabeth George.**A TRAITOR TO MEMORY		9781299096462	2001-07-15	3	8	8	A TRAITOR TO MEMORY
4000		 E. Lynn Harris.	 E. Lynn Harris.**ANY WAY THE WIND BLOWS		9780786257928	2001-07-15	1	0	2	ANY WAY THE WIND BLOWS
4001		 Sue Grafton.	" Sue Grafton.**""P"" IS FOR PERIL"		9780375404160	2001-07-15	6	3	5	"""P"" IS FOR PERIL"
4002		 John Irving.	 John Irving.**THE FOURTH HAND		9782744160615	2001-07-15	2	2	1	THE FOURTH HAND
4003		 Janet Evanovich.	 Janet Evanovich.**SEVEN UP		9781472235749	2001-07-15	6	4	6	SEVEN UP
4004		 Nick Horn.	 Nick Horn.**HOW TO BE GOOD		9782823812671	2001-07-15	1	0	14	HOW TO BE GOOD
4005		 Lalita Tademy.	 Lalita Tademy.**CANE RIVER		9780759592711	2001-07-15	4	4	3	CANE RIVER
4006		 Jeff Shaara.	 Jeff Shaara.**RISE TO REBELLION		9780756912789	2001-07-15	2	9	10	RISE TO REBELLION
4007		 Alice Randall.	 Alice Randall.**THE WIND DONE GONE		9780618245536	2001-07-15	3	11	9	THE WIND DONE GONE
4008		 Anne Tyler.	 Anne Tyler.**BACK WHEN WE WERE GROWNUPS		9780345477248	2001-07-15	11	10	12	BACK WHEN WE WERE GROWNUPS
4009		 Danielle Steel.	 Danielle Steel.**LEAP OF FAITH		9780552146395	2001-07-15	5	1	4	LEAP OF FAITH
4010		 Greg Iles.	 Greg Iles.**DEAD SLEEP		9781596006973	2001-07-15	1	0	13	DEAD SLEEP
4011		 Steve Martini.	 Steve Martini.**THE JURY		9780399146725	2001-07-15	3	6	7	THE JURY
4012		 Harlan Coben.	 Harlan Coben.**TELL NO ONE		9782714442963	2001-07-15	2	13	15	TELL NO ONE
4013		 Tom Clancy.	 Tom Clancy.**THE HUNT FOR RED OCTOBER		9780886900922	1985-05-26	12	3	4	THE HUNT FOR RED OCTOBER
4014		 Richard Bachman.	 Richard Bachman.**THINNER		9782226336309	1985-05-26	15	7	7	THINNER
4015		 Colleen McCullough.	 Colleen McCullough.**A CREED FOR THE THIRD MILLENNIUM		9788755512344	1985-05-26	5	13	12	A CREED FOR THE THIRD MILLENNIUM
4016		 John D. MacDonald.	 John D. MacDonald.**THE LONELY SILVER RAIN		9780517386521	1985-05-26	10	12	11	THE LONELY SILVER RAIN
4017		 Danielle Steel.	 Danielle Steel.**FAMILY ALBUM		9780722183052	1985-05-26	14	10	13	FAMILY ALBUM
4018		 Herman Wouk.	 Herman Wouk.**INSIDE		9781444776645	1985-05-26	12	8	9	INSIDE
4019		 Michael Korda.	 Michael Korda.**QUEENIE		9780816139705	1985-05-26	10	8	10	QUEENIE
4020		 John Irving.	 John Irving.**THE CIDER HOUSE RULES		9780786226757	1985-05-26	3	4	2	THE CIDER HOUSE RULES
4021		 Barbara Taylor Bradford.	 Barbara Taylor Bradford.**HOLD THE DREAM		9780553265545	1985-05-26	1	4	1	HOLD THE DREAM
4022		 Erich Segal.	 Erich Segal.**THE CLASS		9780553172331	1985-05-26	7	9	8	THE CLASS
4023		 Elmore Leonard.	 Elmore Leonard.**GLITZ		9780140814781	1985-05-26	18	14	14	GLITZ
4024		 Sidney Sheldon.	 Sidney Sheldon.**IF TOMORROW COMES		9780446357425	1985-05-26	20	5	6	IF TOMORROW COMES
4025		 Louis L'Amour.	 Louis L'Amour.**JUBAL SACKETT		9780552131407	1985-05-26	3	1	3	JUBAL SACKETT
4026		 Frank Herbert.	 Frank Herbert.**CHAPTERHOUSE: DUNE		9782266235853	1985-05-26	8	6	5	CHAPTERHOUSE: DUNE
4027		 Dean Koontz.	 Dean Koontz.**ODD THOMAS		9780007130740	2003-12-14	1	0	1	ODD THOMAS
4028		 Irving Wallace.	 Irving Wallace.**THE R DOCUMENT		9780671222291	1976-04-04	2	9	8	THE R DOCUMENT
4029		 E. L. Doctorow.	 E. L. Doctorow.**RAGTIME		9788489746398	1976-04-04	9	38	9	RAGTIME
4030		 Gore Vidal.	 Gore Vidal.**1876		9780345301086	1976-04-04	1	5	1	1876
4031		 Robert Ludlum.	 Robert Ludlum.**THE GEMINI CONTENDERS		9780862202545	1976-04-04	5	5	6	THE GEMINI CONTENDERS
4032		 Ira Levin.	 Ira Levin.**THE BOYS FROM BRAZIL		9781453217597	1976-04-04	5	7	7	THE BOYS FROM BRAZIL
4033		 Joseph Wambaugh.	 Joseph Wambaugh.**THE CHOIRBOYS		9780752851310	1976-04-04	21	3	3	THE CHOIRBOYS
4034		 Agatha Christie.	 Agatha Christie.**CURTAIN		9788633131643	1976-04-04	29	4	4	CURTAIN
4035	 	Jr.	Jr.**SAVING THE QUEEN	0446891649	9780446891646	1976-04-04	11	6	5	SAVING THE QUEEN
4036		 Leon Uris.	 Leon Uris.**TRINITY		9780553258462	1976-04-04	4	2	2	TRINITY
4037		 Steve Martini.	 Steve Martini.**DOUBLE TAP		9781597220644	2005-07-31	1	0	1	DOUBLE TAP
4038		 Danielle Steel.	 Danielle Steel.**WANDERLUST		9780751519716	1986-11-30	22	9	10	WANDERLUST
4039		 Stephen Coonts.	 Stephen Coonts.**FLIGHT OF THE INTRUDER		9780330300841	1986-11-30	7	7	8	FLIGHT OF THE INTRUDER
4040		 P. D. James.	 P. D. James.**A TASTE FOR DEATH		9788878190689	1986-11-30	4	7	4	A TASTE FOR DEATH
4041		 Jackie Collins.	 Jackie Collins.**HOLLYWOOD HUSBANDS		9780990844624	1986-11-30	9	5	6	HOLLYWOOD HUSBANDS
4042		 Belva Plain.	 Belva Plain.**THE GOLDEN CUP		9780440130918	1986-11-30	10	10	9	THE GOLDEN CUP
4043		 Isaac Asimov.	 Isaac Asimov.**FOUNDATION AND EARTH		9788576571377	1986-11-30	9	8	7	FOUNDATION AND EARTH
4044		 Stephen King.	 Stephen King.**IT		9783453043701	1986-11-30	14	2	2	IT
