	asin	author	author_title	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title
0		David Baldacci	David Baldacci**HELL'S CORNER	0446195529	9780446195522	2011-01-16	10	15	15	HELL'S CORNER
1		Lisa Genova	Lisa Genova**LEFT NEGLECTED	1439164630	9781439164631	2011-01-16	0	0	17	LEFT NEGLECTED
2		Emma Donoghue	Emma Donoghue**ROOM	0316098337	9780316098335	2011-01-16	10	14	11	ROOM
3		Stieg Larsson	Stieg Larsson**THE GIRL WHO KICKED THE HORNET’S NEST	030726999X	9780307269997	2011-01-16	34	1	3	THE GIRL WHO KICKED THE HORNET’S NEST
4		Jonathan Franzen	Jonathan Franzen**FREEDOM	0312600844	9780312600846	2011-01-16	17	7	10	FREEDOM
5		David Sedaris	David Sedaris**SQUIRREL SEEKS CHIPMUNK	0316038393	9780316038393	2011-01-16	0	0	19	SQUIRREL SEEKS CHIPMUNK
6		John Lescroart	John Lescroart**DAMAGE	0525951768	9780525951766	2011-01-16	2	12	14	DAMAGE
7		Robert Crais	Robert Crais**THE SENTRY	0399157077	9780399157073	2011-01-16	1	0	2	THE SENTRY
8		Patricia Cornwell	Patricia Cornwell**PORT MORTUARY	0399157212	9780399157219	2011-01-16	7	11	16	PORT MORTUARY
9		Brad Meltzer	Brad Meltzer**THE INNER CIRCLE	0446577898	9780446577892	2011-01-16	1	0	1	THE INNER CIRCLE
10		Dean Koontz	Dean Koontz**WHAT THE NIGHT KNOWS	0553807722	9780553807721	2011-01-16	3	2	5	WHAT THE NIGHT KNOWS
11		W E B Griffin and William E Butterworth IV	W E B Griffin and William E Butterworth IV**THE OUTLAWS	0399156836	9780399156830	2011-01-16	3	6	12	THE OUTLAWS
12		Tami Hoag	Tami Hoag**SECRETS TO THE GRAVE	052595192X	9780525951926	2011-01-16	3	10	13	SECRETS TO THE GRAVE
13		John Grisham	John Grisham**THE CONFESSION	0385528043	9780385528047	2011-01-16	12	4	7	THE CONFESSION
14		Kathryn Stockett	Kathryn Stockett**THE HELP	0399155341	9780399155345	2011-01-16	94	5	6	THE HELP
15		Jack Higgins	Jack Higgins**THE JUDAS GATE	0399156844	9780399156847	2011-01-16	0	0	20	THE JUDAS GATE
16		Kim Edwards	Kim Edwards**THE LAKE OF DREAMS	0670022179	9780670022175	2011-01-16	0	0	18	THE LAKE OF DREAMS
17		Anders Roslund and Borge Hellstrom	Anders Roslund and Borge Hellstrom**THREE SECONDS	1402785925	9781402785924	2011-01-16	2	9	8	THREE SECONDS
18		James Patterson	James Patterson**CROSS FIRE	031603617X	9780316036177	2011-01-16	9	8	9	CROSS FIRE
19		Tom Clancy with Grant Blackwood	Tom Clancy with Grant Blackwood**DEAD OR ALIVE	0399157239	9780399157233	2011-01-16	6	3	4	DEAD OR ALIVE
